name,sector,founded,amount_raised,headquarters,founders,country
Games24x7,Media & Entertainment,2006,$75.00 Mn+,Mumbai,"Bhavin Pandya, Trivikraman Thampy",India
Generico,Health Tech,2017,$44.79 Mn+,Mumbai,"Siddharth Gadia,Girish Agarwal",India
GetVantage,Fintech,2019,$41.00 Mn+,Mumbai,"Amit Srivastava, Bhavik Vasa, Sachin Tagra",India
Glance,Enterprise Tech,2019,$390.00 Mn+,Bengaluru,"Abhay Singhal, Mohit Saxena, Naveen Tewari, Piyush Shah",India
GlobalBees,Ecommerce,2021,$279.57 Mn+,New Delhi,"Nitin Agarwal, Supam Maheshwari",India
GoKwik,Enterprise Tech,2020,$55.45 Mn+,New Delhi,"Ankush Talwar, Chirag Taneja, Vivek Bajpai",India
GoMechanic,Consumer Services,2016,$68.92 Mn+,Gurugram,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",India
GoTrust,Enterprise Tech,2023,$400.00K+,Noida,Himanshu Gautam,India
GoWork India,Real Estate Tech,2017,$53.00 Mn+,Gurugram,Nimit Mahajan,India
Good Glamm Group,Ecommerce,2021,$214.00 Mn+,New Delhi,"Naiyya Saggi,Darpan Sanghvi, Priyanka Gill",India
Goomo,Travel Tech,2006,$50.00 Mn+,Mumbai,"Varun Gupta,Sanjeev Sreedharan",India
Green Grahi,Health Tech,2021,$3.72 Mn+,New Delhi,"Shivali Sugand, Siddharth Sharma",India
GreenCell Mobility,Travel Tech,2019,$457.62 Mn+,Mumbai,Ashok Agarwal,India
GreyOrange,Logistics,2012,$428.10 Mn+,Gurugram,"Akash Gupta, Samay Kohli",India
Groww,Fintech,2016,$393.20 Mn+,Bengaluru,"Harsh Jain, Ishan Bansal Dean, Lalit Keshre, Neeraj Singh",India
Gupshup,Enterprise Tech,2004,$480.50 Mn+,New Delhi,"Beerud Sheth, Rakesh Mathur",India
Haber,Enterprise Tech,2017,$65.06 Mn+,Pune,"Prashun Purkayastha, Priya Venkat, Vipin Raghavan",India
HackerRank,Edtech,2012,$110.40 Mn+,Bengaluru,"Harishankaran Karunanidhi, Vivek Ravisankar",India
Happiest Minds Technologies,Enterprise Services,2011,$105.92 Mn+,Bengaluru,"Ashok Soota, Aurobinda Nanda, Joseph Anantharaju, Salil Godika",India
Happilo,Ecommerce,2016,$38.71 Mn+,Bengaluru,Vikas D Nahar,India
HappyEasyGo,Travel Tech,2017,$49.60 Mn+,Gurugram,"Boris Zha,Vivek Prabhakar",India
Hasura,Enterprise Tech,2017,$136.50 Mn+,Bengaluru,"Rajoshi Ghosh, Tanmai Gopal",India
Heads Up For Tails,Ecommerce,2008,$50.00 Mn+,Gurugram,"Rashi Narang, Ridhima Coelho, Sandeep Atmaram",India
Health Care At Home India,Health Tech,2012,$56.27 Mn+,Noida,Vivek Srivastava,India
HealthKart,Ecommerce,2011,$350.91 Mn+,Gurugram,"Chella Pandyan, Sameer Maheshwari",India
HealthPlix,Enterprise Tech,2014,$44.68 Mn+,Bengaluru,"Raghuraj Sunder Raju, Sandeep Gudibanda",India
HealthifyMe,Health Tech,2012,$150.00 Mn+,Bengaluru,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht",India
Hero Future Energies,Clean Tech,2012,$725.00 Mn+,New Delhi,Sunil Jain,India
Hike,Media & Entertainment,2012,$261.00 Mn+,New Delhi,Kavin Bharti Mittal,India
Holisol,Enterprise Tech,2009,$27.31 Mn+,New Delhi,"Manish Ahuja, Naveen Rawat, Rahul Dogar",India
HomeLane,Real Estate Tech,2014,$156.86 Mn+,Bengaluru,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram",India
Hopscotch,Ecommerce,2012,$71.00 Mn+,Mumbai,Rahul Anand,India
Hotstar,Media & Entertainment,2000,$226.76 Mn+,Mumbai,Nagabhushan Ramappa,India
Housing,Real Estate Tech,2012,$147.83 Mn+,Gurugram,"Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia",India
Hubilo,Enterprise Tech,2020,$153.11 Mn+,Ahmedabad,"Mayank Agarwal, Vaibhav Jain",India
Hungama,Media & Entertainment,1999,$165.00 Mn+,Mumbai,Neeraj Roy,India
HungerBox,Enterprise Tech,2015,$43.67 Mn+,Bengaluru,"Sandipan Mitra, Uttam Kumar",India
IDfy,Enterprise Tech,2011,$54.96 Mn+,Mumbai,"Ashok Hariharan, Hatim Baheranwala, Vineet Jawa",India
IIFL Finance,,1995,$175.00 Mn+,Mumbai,,India
IPEC,Clean Tech,2017,$3.00 Mn+,Bengaluru,,India
IVANA Jewels,Ecommerce,2023,$236.47K+,Surat,Ayushi Jindal,India
Ibibo Group,Travel Tech,2007,$250.00 Mn+,Gurugram,Ashish Kashyap,India
Icertis,Enterprise Tech,2009,$516.00 Mn+,Pune,"Monish Darda, Samir Bodas",India
Impact Analytics,Enterprise Tech,2015,$61.75 Mn+,Bengaluru,Prashant Agrawal,India
InCred,Fintech,2016,$373.73 Mn+,Mumbai,Bhupinder Singh,India
InMobi,Enterprise Tech,2007,$420.10 Mn+,Bengaluru,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah",India
IndMoney,Fintech,2019,$153.89 Mn+,Gurugram,Ashish Kashyap,India
IndeWild,Ecommerce,2021,$8.00 Mn+,Mumbai,"Diipa Khosla, Oleg Eh Buller",India
IndiQube,Real Estate Tech,2015,$45.31 Mn+,Bengaluru,"Meghna Agarwal, Rishi Das",India
IndiaHomes,Real Estate Tech,2007,$79.78 Mn+,New Delhi,Samarjit Singh,India
IndiaMART,Ecommerce,1999,$30.84 Mn+,Noida,Dinesh Agarwal,India
Indian School Finance Company,Fintech,2008,$36.00 Mn+,New Delhi,Samir Mehra,India
Indifi Technologies,Fintech,2015,$120.16 Mn+,Gurugram,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi",India
Industrybuying,Ecommerce,2013,$39.80 Mn+,New Delhi,"Rahul Gupta, Swati Gupta",India
Infinity Fincorp Solutions,Fintech,2016,$69.00 Mn+,Mumbai,Shrikant Ravalkar,India
Infra.Market,Real Estate Tech,2016,$483.84 Mn+,Thane,"Aaditya Sharda, Souvik Sengupta",India
InnerGize,Health Tech,2023,$526.50K+,New Delhi,"Dr Siddhant Bhargava,Shalmali Kadu,Mitansh Khurana",India
Innovaccer,Enterprise Tech,2014,$666.20 Mn+,Noida,"Abhinav Shashank, Kanav Hasija, Sandeep K Gupta",India
Innoviti,Fintech,2002,$100.16 Mn+,Bengaluru,"Amrita Malik, Rajeev Agrawal",India
Inshorts,Media & Entertainment,2013,$165.33 Mn+,Noida,"Anunay Pandey, Azhar Iqubal, Deepit Purkayastha",India
Instawork,Consumer Services,2015,$138.00 Mn+,Bengaluru,"Saureen Shah, Sumir Meghani",India
InsuranceDekho,Fintech,2016,$360.00 Mn+,Gurugram,"Ankit Agrawal, Ish Babbar",India
InterviewBit,Edtech,2015,$65.00 Mn+,Bengaluru,"Abhimanyu Saxena, Anshuman Singh",India
Irame.ai,Enterprise Tech,2023,$1.00 Mn+,Gurugram,"Ajay Mudhai,Kapil Arora",India
Iyaso,Edtech,2023,$500.00K+,Pune,Viraj Kulkarni,India
JSW Ventures,,1982,$151.63 Mn+,Mumbai,,India
Jabong.com,Ecommerce,2011,$47.50 Mn+,Gurugram,"Arun Chandramohan, Manu Jain, Mukul Bafana, Praveen Sinha",India
Jai Kisan,Fintech,2017,$88.70 Mn+,Mumbai,"Adriel Maniego, Arjun Ahluwalia",India
Jana Small Finance Bank,Fintech,2018,$591.69 Mn+,Bengaluru,Ramesh Ramanathan,India
Jar App,Fintech,2021,$111.67 Mn+,Bengaluru,"Misbah Ashraf, Nishchay AG",India
Jasper,Travel Tech,2014,$50.00 Mn+,New Delhi,Sanjay Kumar Thakur,India
JetSynthesys,Media & Entertainment,2014,$42.03 Mn+,Pune,Rajan Navani,India
JioSaavn,Media & Entertainment,2007,$100.00 Mn+,Mumbai,"Rishi Malhotra,Anjali Jindal Naik,Anurag Gupta,Paramdeep Singh",India
Jumbotail,Ecommerce,2015,$167.76 Mn+,Bengaluru,"Ashish Jhina, Karthik Venkateswaran",India
Juniper Green Energy,Clean Tech,2018,$350.00 Mn+,Gurugram,Naresh Mansukhani,India
Jupiter,Fintech,2019,$171.48 Mn+,Mumbai,"Jitendra Gupta,Vishnu Jerome",India
Juspay,Fintech,2012,$87.42 Mn+,Bengaluru,"Ramanathan RV, Vimal Kumar",India
Just Buy Live,Ecommerce,2015,$120.00 Mn+,Mumbai,"Bharat Balachandran, Sahil Sani",India
Just Dial,Consumer Services,1996,$113.46 Mn+,Mumbai,"Ramani Iyer, V.S.S. Mani",India
K-12 Techno Services,Edtech,2012,$81.98 Mn+,Bengaluru,"Venkata Narayana,MSC Srikanth",India
Kabira Mobility,Clean Tech,2019,$50.00 Mn+,Verna,"Akash Siwach, Jaibir Siwach",India
Kaleidofin,Fintech,2017,$46.68 Mn+,Chennai,"Puneet Gupta, Sucharita Mukherjee",India
Kapiva,Ecommerce,2016,$51.50 Mn+,Bengaluru,"Ameve Sharma, Shrey Badhani",India
Karbon Card,Fintech,2019,$38.31 Mn+,Bengaluru,"Amit Jangir, Bo Li, Kartik Jain, Pei-fu Hsieh, Sunil Kumar",India
Keka HR,Enterprise Tech,2015,$58.60 Mn+,Hyderabad,Vijay Yalamanchili,India
Khatabook,Fintech,2018,$186.50 Mn+,Bengaluru,"Ashish Sonone, Dhanesh Kumar, Jaideep Poonia, Ravish Naresh, Vaibhav Kalpe",India
Kinara Capital,Fintech,2011,$173.49 Mn+,Bengaluru,Hardika Shah,India
Kissht,Fintech,2015,$142.54 Mn+,Mumbai,"Krishnan Vishwanathan, Ranvir Singh",India
Kitchens@,Consumer Services,2018,$82.64 Mn+,Bengaluru,Junaiz Kizhakkayil,India
Knowlarity Communications,Enterprise Tech,2009,$42.50 Mn+,Gurugram,"Ambarish Gupta, Pallav Pandey",India
Konect U,Edtech,2022,,Mumbai,Kevin Lewis,India
Koo App,Media & Entertainment,2020,$60.35 Mn+,Bengaluru,"Aprameya Radhakrishna, Mayank Bidawatka",India
Koovs,Ecommerce,2009,$43.00 Mn+,Bengaluru,"Amit Shukla, Kanishk Shukla, Manish Tewari",India
KorinMi,Health Tech,2024,$360.00K+,Gurugram,"Reshbha Munjal,Jenovia Daun Jung",India
Kraftshala,Edtech,2017,,New Delhi,"Eshu Sharma, Varun Satia",India
KrazyBee,Fintech,2016,$62.53 Mn+,Bengaluru,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram",India
KreditBee,Fintech,2018,$362.65 Mn+,Bengaluru,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Vivek Veda",India
Kuku FM,Media & Entertainment,2018,$71.80 Mn+,Mumbai,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",India
Kyte,Media & Entertainment,2018,$81.49 Mn+,Mumbai,"Dhanesh Kumar, Jaideep Poonia, Ravish Naresh",India
LAT Aerospace,Advanced Hardware & Technology,2025,$20.00 Mn+,New Delhi,"Surabhi Das,Deepinder Goyal",India
LEAD School,Enterprise Tech,2012,$182.23 Mn+,Mumbai,"Smita Deorah, Sumeet Mehta",India
Lal Sweets,Ecommerce,2010,$39.32 Mn+,Bengaluru,Prateek Athwani,India
LambdaTest,Enterprise Tech,2017,$108.00 Mn+,Noida,"Asad Khan, Jay Singh, Mayank Bhola",India
Laurus Labs,Health Tech,2005,$148.10 Mn+,Hyderabad,Satyanarayana Chava,India
LeadSquared,Enterprise Tech,2011,$188.00 Mn+,Bengaluru,"Nilesh Patel, Prashant Singh,Sudhakar Gorti",India
Leads Connect,Agritech,2009,$60.28 Mn+,Noida,Navneet Ravikar,India
Leap,Edtech,2019,$152.50 Mn+,Bengaluru,"Arnav Kumar, Vaibhav Singh",India
Leap India,Logistics,2013,$184.87 Mn+,Mumbai,Sunu Mathew,India
Lehlah,Media & Entertainment,2022,$1.46 Mn+,Mumbai,Ashna Ruia,India
Lendingkart,Fintech,2014,$340.37 Mn+,Ahmedabad,"Harshvardhan Lunia, Mukul Sachan",India
LensKart,Ecommerce,2008,$1.75 Bn+,Gurugram,"Amit Chaudhary, Peyush Bansal, Sumeet Kapahi",India
Lentra,Fintech,2019,$98.70 Mn+,Pune,"Ankur Handa, Dasharathi Venkatesh",India
LetsTransport,Logistics,2015,$82.64 Mn+,Bengaluru,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi",India
Leverage Edu,Edtech,2017,$73.27 Mn+,New Delhi,Akshay Chaturvedi,India
Licious,Ecommerce,2015,$554.22 Mn+,Bengaluru,"Abhay Hanjura, Varun Sadana, Vivek Gupta",India
LifeCell International,Health Tech,2004,$42.12 Mn+,Chennai,S Abhaya Kumar,India
Lighthouse PropTech,Real Estate Tech,2023,$1.00 Mn+,Mumbai,"Sumesh Mishra,Murtuza Contractor",India
LimeRoad,Ecommerce,2012,$51.50 Mn+,Gurugram,"Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee",India
Little,Ecommerce,2015,$50.00 Mn+,Bengaluru,"Manish Chopra, Satish Mani",India
Livpure,Ecommerce,2010,$43.79 Mn+,Gurugram,"Navneet Kapoor, Rakesh Malhotra, Rs Rajan",India
Livspace,Real Estate Tech,2015,$433.38 Mn+,Bengaluru,"Anuj Srivastava, Ramakant Sharma, Saurabh Jain",India
LoadShare Networks,Logistics,2017,$59.40 Mn+,Bengaluru,"Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar",India
Loco,Media & Entertainment,2017,$51.00 Mn+,Bengaluru,"Abhishek Madhavan, Anirudh Pandita, Ashwin Suresh, Chetan Dembre, Firasat Durrani, Sushil Kumar",India
Log9 Materials,Clean Tech,2015,$64.66 Mn+,Bengaluru,"Akshay Singhal, Kartik Hajela, Pankaj Sharma",India
LogiNext,Logistics,2014,$49.60 Mn+,Mumbai,"Dhruvil Sanghvi, Manisha Raisinghani",India
Lohum,Clean Tech,2017,$44.38 Mn+,New Delhi,"Justin Lemmon, Rajat Verma",India
Loop Health,Fintech,2018,$39.30 Mn+,Mumbai,"Amrit Singh, Mayank Kale, Ryan Singh",India
M2P Fintech,Fintech,2014,$214.89 Mn+,Chennai,"Madhusudanan R, Muthukumar A(M2P), Prabhu Rangarajan",India
MODIFI,Fintech,2018,$350.20 Mn+,New Delhi,"Jan Wehrs, Nelson Holzner, Sven Brauer",India
MX Player,Media & Entertainment,2011,$110.80 Mn+,Mumbai,Karan Bedi,India
Mad Street Den,Enterprise Tech,2016,$55.82 Mn+,Chennai,"Anand Chandrasekaran, Ashwini Asokan, Costa Colbert",India
Magenta Mobility,Logistics,2018,$77.00 Mn+,Bengaluru,"Darryl Dias, Maxson Lewis",India
Magicpin,Foodtech,2015,$104.88 Mn+,Gurugram,"Abhishek Awasthi, Anshoo Sharma, Brij Bhushan",India
Maiyas Beverages And Foods,Ecommerce,2012,$46.60 Mn+,Bengaluru,P Sadananda Maiya,India
Make in Box,Logistics,2020,$260.00K+,Bengaluru,Ullas Esturi,India
MakeMyTrip,Travel Tech,2000,$748.00 Mn+,Gurugram,Deep Kalra,India
Mamaearth,Ecommerce,2016,$111.18 Mn+,Gurugram,"Ghazal Alagh, Varun Alagh",India
MarketsandMarkets,Enterprise Tech,2010,$56.00 Mn+,Pune,Sandeep Sugla,India
Matrix Gas & Renewables,Clean Tech,2022,$42.26 Mn+,Ahmedabad,Anmol Singh Jaggi,India
MedGenome,Health Tech,2013,$185.50 Mn+,Bengaluru,"Mahesh Pratapneni, Sam Santhosh",India
MediBuddy,Health Tech,2013,$189.85 Mn+,Bengaluru,"Enbasekar Dinadayalane, Satish Kannan",India
Medikabazaar,Health Tech,2014,$191.94 Mn+,Mumbai,"Ketan Malkan, Vivek Tiwari",India
Medlife,Health Tech,2014,$62.80 Mn+,Bengaluru,"Ananth Narayanan, Prashanth Singh, Tushar Kumar",India
Meesho,Ecommerce,2015,$1.61 Bn+,Bengaluru,"Sanjeev Barnwal, Vidit Aatrey",India
Melorra,Ecommerce,2015,$78.40 Mn+,Bengaluru,"Krishna Kumar, Saroja Yeramilli",India
Mensa Brands,Ecommerce,2021,$294.26 Mn+,Bengaluru,Ananth Narayanan,India
Meru Cabs,Travel Tech,2007,$75.00 Mn+,Mumbai,Neeraj Gupta,India
Metalbook,Ecommerce,2021,$38.00 Mn+,Gurugram,"Aman Kumar Tibrewal,Pulkit Baldev,Raghavendra Pratap Singh",India
Miko,Edtech,2015,$64.87 Mn+,Mumbai,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani",India
Milk Mantra,Ecommerce,2009,$39.46 Mn+,Bhubaneswar,Srikumar Misra,India
MilkBasket,Consumer Services,2015,$38.53 Mn+,Gurugram,"Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia",India
Mindspace REIT,Fintech,2014,$77.94 Mn+,Mumbai,,India
Mindtickle,Enterprise Tech,2012,$281.30 Mn+,Pune,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali",India
Minio,Enterprise Tech,2014,$126.30 Mn+,Bengaluru,"Anand Babu Periasamy, Frederick Kautz, Garima Kapoor, Harshavardhana .",India
Mintifi,Fintech,2017,$340.03 Mn+,Mumbai,"Ankit Mehta, Anup Agarwal, Sanjoy Shome",India
Mintoak,Fintech,2017,$25.68 Mn+,Mumbai,"Rama Tadepalli, Raman Khanduja, Sanjay Nazareth",India
MoEngage,Enterprise Tech,2014,$207.38 Mn+,Bengaluru,"Raviteja Dodda, Yashwanth Kumar",India
MobiKwik,Fintech,2009,$242.70 Mn+,Gurugram,"Bipin Singh, Chandan Joshi, Upasana Taku",India
Mobile Premier League,Media & Entertainment,2018,$375.50 Mn+,Bengaluru,"Sai Srinivas Kiran G, Shubham Malhotra",India
Moglix,Ecommerce,2015,$481.51 Mn+,Noida,Rahul Garg,India
Money View,Fintech,2014,$188.30 Mn+,Bengaluru,"Puneet Agarwal, Sanjay Aggarwal",India
MoneyTap,Fintech,2015,$40.30 Mn+,Bengaluru,"Anuj Kacker, Bala Parthasarathy, Kunal Varma",India
Moser Baer Solar,Clean Tech,2007,$196.29 Mn+,New Delhi,Deepak Puri,India
Mswipe,Fintech,2011,$128.40 Mn+,Mumbai,Manish Patel,India
Mu Sigma,Enterprise Tech,2004,$209.50 Mn+,Bengaluru,Dhiraj C Rajaram,India
Mufin Green Finance,Fintech,2016,$92.42 Mn+,New Delhi,"Kapil Garg,Rajat Goyal",India
MyDesignation,Ecommerce,2017,$1.25 Mn+,Thiruvananthapuram,"Swaroop Krishnan,Gopika B Raj",India
MyGate,Enterprise Tech,2016,$79.45 Mn+,Bengaluru,"Abhishek Kumar, Shreyans Daga, Vijay Arisetty",India
MyGlamm,Ecommerce,2015,$138.35 Mn+,Mumbai,"Darpan Sanghvi, Priyanka Gill",India
Myntra,Ecommerce,2007,$374.33 Mn+,Bengaluru,"Ashutosh Lawania, Mukesh Bansal, Vineet Saxena",India
NDR InvIT,Logistics,2023,$75.00 Mn+,Mumbai,Naidu Reddy,India
NODWIN Gaming,Media & Entertainment,2015,$50.00 Mn+,Gurugram,"Akshat Rathee, Gautam Virk",India
NSPIRA Management Services,Enterprise Services,2014,$135.00 Mn+,Hyderabad,Puneet Kothapa,India
Naaptol,Ecommerce,2008,$119.70 Mn+,Thane,Manu Agarwal,India
Naarica,Ecommerce,2023,,Nashik,Shruti Chand,India
Namdev Finvest,Fintech,1997,$76.66 Mn+,Jaipur,Jitendra Tanwar,India
Navi Technologies,Fintech,2018,$677.46 Mn+,Bengaluru,"Ankit Agarwal, Sachin Bansal",India
Nazara Technologies,Media & Entertainment,2000,$334.72 Mn+,Mumbai,Nitish Mittersain,India
Neo Asset Management,Fintech,2021,$126.55 Mn+,Mumbai,"Hemant Daga,Nitin Jain",India
NeoGrowth,Fintech,2011,$219.01 Mn+,Mumbai,"Dhruv Khaitan, Piyush Khaitan",India
Nephroplus,Health Tech,2009,$199.63 Mn+,Hyderabad,"Kamal D Shah, Sandeep Gudibanda, Vikram Vuppala",India
NestAway,Real Estate Tech,2015,$112.07 Mn+,Bengaluru,"Amarendra Sahu, Deepak Dhar, Jitendra Jagadev, Smruti Parida",India
Netmeds,Health Tech,2015,$103.71 Mn+,Chennai,Pradeep Dadha,India
Netradyne,Enterprise Tech,2015,$352.52 Mn+,Bengaluru,"Avneesh Agrawal, David Julian",India
NewSpace Research & Technologies,,2018,$73.32 Mn+,Bengaluru,"Sameer Joshi,Sameer Joshi",India
NewsDog,Media & Entertainment,2016,$50.00 Mn+,New Delhi,"Chen Yukun,Yi Ma",India
Neysa,Enterprise Tech,2023,$49.90 Mn+,Mumbai,"Anindya Das, Sharad Sanghi",India
NiYO Solutions,Fintech,2015,$179.20 Mn+,Bengaluru,"Vinay Bagri, Virender Bisht",India
Ninjacart,Agritech,2015,$406.74 Mn+,Bengaluru,"Thirukumaran Nagarajan, Kartheeswaran K K, Vasudevan Chinnathambi, Sharath Loganathan",India
Niyogin Fintech,Fintech,2017,$42.99 Mn+,Mumbai,"Amit Rajpal, Gaurav Makarand Patankar",India
NoBroker,Real Estate Tech,2014,$376.00 Mn+,Bengaluru,"Akhil Gupta, Amit Agarwal, Saurabh Garg",India
Northern Arc,,2008,$176.93 Mn+,Gurugram,,India
Nothing Before Coffee,Foodtech,2017,$2.30 Mn+,Jaipur,"Anand Jain, Akshay Kedia, Shubham Bhandari, Ankesh Jain",India
Nuuk,Ecommerce,2023,$4.60 Mn+,Gurugram,"Gazal S Kalra, Shalabh Gupta",India
NuvoEx,Logistics,2013,$46.00 Mn+,Gurugram,"Milind Sharma, Navneet Singh",India
Nykaa,Ecommerce,2012,$156.89 Mn+,Mumbai,Falguni Nayar,India
O2 Power,Clean Tech,2019,$500.00 Mn+,Gurugram,"Parag Sharma, Peeyush Mohit,Rakesh Garg",India
OBOPAY,Fintech,2005,$100.00 Mn+,Bengaluru,"John Tumminaro,Carol Realini",India
OYO,Travel Tech,2012,$3.71 Bn+,Gurugram,Ritesh Agarwal,India
OfBusiness,Ecommerce,2015,$890.13 Mn+,Gurugram,"Asish Mohapatra, Bhuvan Gupta, Nitin Jain, Ruchi Kalra, Vasant Sridhar",India
OkCredit,Fintech,2017,$84.50 Mn+,Bengaluru,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna",India
Ola,Travel Tech,2010,$4.74 Bn+,Bengaluru,"Ankit Bhati, Bhavish Aggarwal",India
Ola Electric,Clean Tech,2017,$1.50 Bn+,Bengaluru,"Anand Shah, Ankit Jain, Bhavish Aggarwal",India
Ola Krutrim,AI,2023,$74.00 Mn+,Bengaluru,Bhavish Aggarwal,India
OneAssist,Fintech,2011,$64.42 Mn+,Mumbai,"Gagan Maini, Subrat Pani",India
OneCard,Fintech,2019,$119.91 Mn+,Pune,"Rupesh Kumar,Anurag Sinha,Vaibhav Hathi",India
Onsurity,Fintech,2020,$61.00 Mn+,Bengaluru,"Kulin Shah, Yogesh Agarwal",India
Open Money,Fintech,2017,$279.08 Mn+,Bengaluru,"Ajeesh Achuthan, Anish Achuthan, Deena Jacob, Mabel Chacko",India
Orange Health,Health Tech,2020,$46.81 Mn+,Bengaluru,"Dhruv Gupta, Tarun Bhambra",India
Origo Commodities,Agritech,2010,$52.80 Mn+,Gurugram,"Jeffrey Hamaoui, Mayank Dhanuka, Sunoor Kaul",India
Otipy,Ecommerce,2020,$69.13 Mn+,Gurugram,"Varun Khurana,Prashant Jain",India
Outzidr,Ecommerce,2024,$3.50 Mn+,Bengaluru,"Nirmal Jain,Mani Kant Mani,Justin Mario",India
Oxyzo,Fintech,2016,$201.14 Mn+,Gurugram,"Asish Mohapatra, Bhuvan Gupta, Ruchi Kalra",India
PAN Health,Ecommerce,2017,$48.34 Mn+,Rajkot,,India
PB Healthcare,Fintech,2025,$218.00 Mn+,Gurugram,Yashish Dahiya,India
PMI Electro Mobility Solutions,Clean Tech,2017,$30.07 Mn+,Dharuhera,Satish Kumar Jain,India
Paper Boat,Ecommerce,2009,$142.06 Mn+,Bengaluru,"James Nuttall, Neeraj Kakkar, Suhas Misra",India
Park+,Travel Tech,2019,$53.15 Mn+,Gurugram,"Amit Lakhotia, Hitesh Gupta",India
Passion Gaming,Media & Entertainment,2015,$37.50 Mn+,Panchkula,"Bobby Garg,Priya Kumar",India
PayMate,Fintech,2006,$45.49 Mn+,Mumbai,Ajay Adiseshann,India
Paytm,Fintech,2009,$4.91 Bn+,Noida,Vijay Shekhar Sharma,India
Paytm Insurance,Fintech,2019,$122.60 Mn+,New Delhi,Vijay Shekhar Sharma,India
Paytm Mall,Ecommerce,2017,$805.00 Mn+,Bengaluru,Vijay Shekhar Sharma,India
PepperTap,,2014,$51.20 Mn+,Gurugram,"Milind Sharma, Navneet Singh",India
Pepperfry,Ecommerce,2012,$305.32 Mn+,Mumbai,"Ambareesh Murty, Ashish Shah",India
Peppermint Robotics,Advanced Hardware & Technology,2019,$4.69 Mn+,Pune,"Miraj C. Vora, Nityanand Prabhutendolkar, Runal Dahiwade",India
Perfios,Fintech,2008,$441.21 Mn+,Bengaluru,"Debasish Chakraborty, V.R. Govindarajan",India
Perkant Tech,Health Tech,2020,$770.08K+,Indore,"Lokant Jain,Saniya Jeswani",India
PhableCare,Health Tech,2018,$39.56 Mn+,Bengaluru,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha",India
PharmEasy,Health Tech,2015,$1.77 Bn+,Mumbai,"Dharmil Sheth, Dhaval Shah, Mikhil Innani, Siddharth Shah",India
PhonePe,Fintech,2015,$2.29 Bn+,Bengaluru,"Burzin Engineer, Rahul Chari, Sameer Nigam",India
PhysicsWallah,Edtech,2016,$310.00 Mn+,Noida,"Alakh Pandey, Prateek Maheshwari",India
Pi Datacenters,Enterprise Tech,2014,$112.72 Mn+,Hyderabad,Kalyan Muppaneni,India
Pickkup,Logistics,2021,$500.00K+,Mohali,"Ankush Sharma, Chandra Shekhar, Upma Sharma",India
Pine Labs,Fintech,1998,$1.59 Bn+,Noida,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",India
Piramal Group,Health Tech,1992,$771.89 Mn+,Mumbai,Ajay Piramal,India
Pixxel,Advanced Hardware & Technology,2018,$97.98 Mn+,Bengaluru,"Awais Ahmed, Kshitij Khandelwal",India
PlayShifu,Edtech,2016,$41.44 Mn+,Bengaluru,"Dinesh Advani, Vivek Goyal",India
Plum,Ecommerce,2013,$49.90 Mn+,Mumbai,Shankar Prasad,India
Pocket FM,Media & Entertainment,2018,$203.40 Mn+,Bengaluru,"Nishanth S., Prateek Dixit, Rohan Nayak",India
PolicyBazaar,Fintech,2008,$942.00 Mn+,Gurugram,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya",India
Portea Medical,Health Tech,2013,$95.07 Mn+,Bengaluru,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Vaibhav Tewari, Zachary Jones",India
Porter,Logistics,2014,$132.07 Mn+,Bengaluru,"Pranav Goel, Uttam Digga, Vikas Choudhary",India
Posha,Ecommerce,2016,$8.77 Mn+,Bengaluru,"Raghav Gupta,Rohin Malhotra",India
Postman,Enterprise Tech,2014,$433.00 Mn+,Bengaluru,"Abhijit Kane, Abhinav Asthana, Ankit Sobti",India
Power2SME,Ecommerce,2012,$85.38 Mn+,Gurugram,R. Narayan,India
Practo,Health Tech,2008,$228.25 Mn+,Bengaluru,"Abhinav Lal, Shashank ND",India
