name,sector,founded,headquarters,founders,country,amount_raised_inr
Fresh Rooms,Enterprise Tech,2016.0,Bhopal,"Ashutosh Giri, Vinoth Rayar",India,
FreshBus,Travel Tech,2019.0,Bengaluru,Sudhakar Reddy,India,"Rs 1,197,690,000.0"
FreshMenu,Foodtech,2014.0,Bengaluru,Rashmi Daga,India,"Rs 3,102,540,000.0"
FreshR,Ecommerce,2016.0,New Delhi,"Ambika Satapathy,Sadananda Satapathy",India,"Rs 99,600,000.0"
FreshSharp,Ecommerce,2019.0,Patna,Majaz Hassan,India,
FreshToHome,Ecommerce,2015.0,Bengaluru,Shan Kadavil,India,"Rs 31,291,000,000.0"
FreshUp,Travel Tech,2016.0,Chennai,"Mohan Ramalingam, Vinil Reddy",India,"Rs 124,500,000.0"
FreshWorld,Consumer Services,2012.0,Bengaluru,"Praveen Kumar SR, Rajiv Rao",India,"Rs 126,990,000.0"
Freshboxx,Consumer Services,2016.0,Hubballi,"Pavan Patil,Rohan Kulkarni,Praveen Narappanavar",India,
Freshee,Ecommerce,2009.0,Mumbai,Vimal Kumar Somani,India,
Freshleaf Teas,Ecommerce,2022.0,Ludhiana,"Balkirat Singh, Muneet Arora",India,
FreshoKartz,Agritech,2016.0,Jaipur,"Chandrakanta ., Rajendra Lora",India,"Rs 128,650,000.0"
Freshworks,Enterprise Tech,2010.0,Chennai,"Girish Mathrubootham, Shan Krishnasamy, Vijay Shankar",India,"Rs 40,172,000,000.0"
FretBox,Enterprise Tech,2016.0,Gautambudh Nagar,"Ashish Gupta,Bishnu Sahoo,Sachin Mandwariya,Ashish Gupta,Bishnu Sahoo,Sachin Mandwariya",India,
Freyr Energy,Clean Tech,2014.0,Hyderabad,"Radhika Choudary, Saurabh Marda",India,"Rs 902,210,000.0"
Fric Bergen,Ecommerce,2008.0,Alwar,"Rohit Agarwal, Vandana Singh, Vivek Singh",India,
FriendLoan,Fintech,2017.0,Chennai,Vijayakumar Vaidhyanathan,India,
Frigate,Enterprise Tech,2021.0,Tiruchirappalli,"Chandrasekar Ch, Iniyavan Vasanthan, Karthikeyan Prakash, Tamizh Inian",India,"Rs 140,270,000.0"
Frilp,Consumer Services,2013.0,Chennai,"Anish Deenadayalan, Aravind Gopalan, Raja Jayaraman, Senthil Kanthaswamy, Shanmuga Anandaraman",India,
Friyey,Real Estate Tech,2019.0,Pune,Yogesh Thore,India,
FroGo,Logistics,2022.0,Gurugram,Mira Jhala,India,"Rs 95,450,000.0"
FrontPage,Media & Entertainment,2019.0,Bengaluru,"Apoorva Singh, Avijit Sharma, Dinesh Reddy, Hareesh Reddy",India,
FrontRow,Edtech,2012.0,Bengaluru,"Aavgeen Singh, Abhishek Goswami, Arshdeep Singh Gulati, Harsh Prateek, Ishaan Preet Singh, Ishan Tyagi, Mayank Sahu, Mikhil Raj, Shubhadit Sharma",India,"Rs 1,684,070,000.0"
Frontier Markets,Logistics,2011.0,Jaipur,Ajaita Shah,India,"Rs 186,750,000.0"
FroyoFit,Consumer Services,2015.0,Indore,Piyush Jain,India,
Frsh,Ecommerce,2014.0,Gurugram,Badal Goel,India,"Rs 126,160,000.0"
Frubites,Ecommerce,2016.0,Pune,"Bharat Kulkarni, Rohit Kulkarni",India,
Fruitfal,Agritech,2018.0,New Delhi,"Viresh Prashar,Subir Sharma,Abhishek Mandingi",India,
Ftcash,Fintech,2015.0,Mumbai,"Deepak Kothari, Sanjeev Chandak, Vaibhav Lodha",India,"Rs 839,960,000.0"
FuelBuddy,Consumer Services,2017.0,Gurugram,"Adnan Kidwai, Gautam Malhotra, Sumit Narvar",India,"Rs 1,991,170,000.0"
Fullife Healthcare,Ecommerce,2009.0,Mumbai,"Shilpa Khanna, Varun Khanna, Varun Khanna, Vijayaraghavan Venugopal",India,"Rs 2,558,890,000.0"
Fullonwedding,Consumer Services,2015.0,Bengaluru,"Himanshu Jagwani, Khushbu Jagwani, Shalabh Jhalawad",India,
Funcart,Ecommerce,2015.0,New Delhi,Ritika Nangia,India,
Funcastic,Media & Entertainment,2014.0,New Delhi,Vivekraj Shah,India,
Function Space,Edtech,2013.0,Pune,"Adit Gupta, Sakshi Majmudar, Sumit Maniyar",India,
FunctionUp,Edtech,2020.0,Bengaluru,"Bharat Gupta, Pritesh Kumar",India,"Rs 124,500,000.0"
Fundamentor,Edtech,2014.0,Pune,"Ankur Vohra, BHARGAVI A.R",India,
Fundfina,Fintech,2020.0,Mumbai,"Nishant Bhaskar, Rahul Tripathy",India,"Rs 132,800,000.0"
Fundflo Technologies,Fintech,2021.0,Pune,"Rajesh Patil,Rattan Chugh",India,
Fundly.ai,Fintech,2021.0,Mumbai,"Amit Kumar Chawla,Neha Ramcharanlal Virmani,Shreeram V Ramanathan,Veena Vinod Chawla",India,"Rs 249,000,000.0"
FundsIndia,Fintech,2008.0,Chennai,"C.R. Chandrasekar, Srikanth Meenakshi",India,"Rs 1,264,920,000.0"
FundsVita,Fintech,2022.0,New Delhi,,India,
Funkfeets,Ecommerce,2016.0,New Delhi,"Sanat Srivastava, Shashank Sahay",India,
Funky Monkeys,Consumer Services,2012.0,Mumbai,"Binita Bodani Putcha,Sanjay Gandhi",India,
Funngage,Media & Entertainment,2022.0,New Delhi,Kavendra Karan Singh,India,
Funngro,Consumer Services,2021.0,Mumbai,"Payal Jain,Anik Jain",India,
Funstop Games,Media & Entertainment,2020.0,New Delhi,"Prashanth Vijay, Tamesh Sharma",India,"Rs 539,500,000.0"
Funtoot,Edtech,2010.0,Bengaluru,Rajeev Pathak,India,"Rs 166,000,000.0"
Fur Ball Story,Ecommerce,2016.0,Gurugram,"Animesh Katiyar,Arushi Dixit,Daksh Jaiswal,Srishti Sharma",India,
Furdo,Real Estate Tech,2015.0,Bengaluru,"Arvind Prakash Singh, Bhavdeep Reddy, Ishwar Sundararaman, Kiran Singh",India,
Furlenco,Ecommerce,2012.0,Bengaluru,Ajith Karimpana,India,"Rs 22,366,010,000.0"
Furnishka,Ecommerce,2023.0,Bengaluru,Ganesh Pawar,India,"Rs 269,750,000.0"
Furniture Magik,Ecommerce,2017.0,Chennai,"Gokul Ravikumar, Sathya Pradeep, Sathya Pradeep",India,
Furry Feedz,Ecommerce,2017.0,Mumbai,,India,
Furtados School of Music,Edtech,2011.0,Mumbai,"Dharini Upadhyaya, Tanuja Gomes",India,"Rs 230,740,000.0"
Fused Training,Health Tech,2021.0,Noida,Sahil MAdan,India,
Fusion Microfinance,Fintech,2009.0,New Delhi,"Ashish Tiwari, Devesh Sachdev",India,"Rs 19,045,180,000.0"
Future Beings India Private Limited,Consumer Services,2023.0,Bengaluru,Princely Amin Dias,India,
FutureCure Health,Health Tech,2019.0,Jaipur,Rajneesh Bhandari,India,"Rs 330,340,000.0"
Futwork,Enterprise Tech,2015.0,Mumbai,"Armaan Vananchal, Karan Karnik, Niranjan Nakhate, Sri Ganapathy",India,"Rs 289,670,000.0"
Fuzen,Enterprise Tech,2019.0,Mumbai,Pushkar Gaikwad,India,
Fuzen.io,Enterprise Tech,2022.0,Nashik,Pushkar Gaikwad,India,
Fyllo,Agritech,2019.0,Bengaluru,"Sachin Gautam, Sudhanshu Rai, Sumit Sheoran",India,"Rs 528,710,000.0"
Fyllow,Agritech,2022.0,Lucknow,Irshad Ali Ansari,India,
Fyn,Logistics,2013.0,Bengaluru,"Visakh Sasikumar,Manu Iyer",India,"Rs 141,100,000.0"
Fynd,Enterprise Tech,2012.0,Mumbai,"Farooq Adam, Harsh Shah, Sreeraman Mohan Girija",India,"Rs 365,200,000.0"
FypMoney,Fintech,2021.0,Gurugram,Kapil Banwari,India,"Rs 166,000,000.0"
G.O.A.T Brand Labs,Ecommerce,2021.0,Bengaluru,"Rameswar Misra, Rishi Vasudev",India,"Rs 8,878,510,000.0"
GAADIFIX,Consumer Services,2022.0,Gurugram,,India,
GAIA BESPOKE,Ecommerce,2016.0,Bandra,Gayatri Thampi,India,
GIBots,Enterprise Tech,2015.0,Pune,Anil Nair,India,
GIFSKEY,Media & Entertainment,2017.0,Hyderabad,"Mahesh Gogineni, Manan Maheshwari, Varun MS",India,"Rs 83,000,000.0"
GIFkaro,Media & Entertainment,2017.0,New Delhi,"Arpit Kumar, Dinesh kumar, Puneet Kalra",India,
GIVA,Ecommerce,2019.0,Bengaluru,"Ishendra Agarwal, Nikita Prasad, Raghvendra Agarwal, Sachin Shetty",India,"Rs 7,475,810,000.0"
GMW,Clean Tech,2021.0,Hyderabad,"Rahul Gayam, Raja Gayam, Sri Harsha Bavirisetty",India,"Rs 4,150,000,000.0"
GOPIZZA,Foodtech,2017.0,Bengaluru,Jae Won Lim,India,"Rs 3,166,450,000.0"
GPES,Clean Tech,2010.0,Noida,Deepak Pandey,India,
GPS Renewables,Clean Tech,2012.0,Bengaluru,"Mainak Chakraborty, Sreekrishna Sankar",India,"Rs 4,331,770,000.0"
GRAVITY,Fintech,2022.0,Mumbai,"Rohit Maroo, Satish Krishnaswamy",India,"Rs 83,000,000.0"
GRE Renew Enertech,Clean Tech,2015.0,Mehsana,KD Patel,India,
GROWiT,Agritech,2020.0,Surat,"Akshay Agarwal, Saurabh Agarwal",India,
GUVI,Edtech,2014.0,Chennai,"Arun Prakash, Bala Murugan, Sridevi Arunprakash",India,"Rs 234,890,000.0"
GYDE,Fintech,2019.0,Pune,"Prasanna Vaidya, Shubham Deshmukh",India,
Gaadi Web,Ecommerce,2008.0,Gurugram,"Ankur Warikoo, Anubhav Deep, Umang Kumar, Vivek Pahwa",India,
Gaana,Media & Entertainment,2010.0,Noida,"Avinash Mudaliar, Jai Thade",India,"Rs 17,114,600,000.0"
Gabbardeals,Ecommerce,2000.0,Pune,"Niraj Raka, Piyush Raka, Poonam Gugale",India,
Gabit,Health Tech,2023.0,Gurugram,Gaurav Gupta,India,"Rs 788,500,000.0"
Gadgets 360,Media & Entertainment,2011.0,New Delhi,"Bhawna Agarwal, Vaibhav Sehgal",India,
Gadgetwood eservices,,2013.0,New Delhi,"Jayant Kumar Jha,Ankit Saraf,Anmol Gupta",India,"Rs 498,000,000.0"
Gadigoda.com,Travel Tech,2022.0,Mumbai,,India,
Gaia Smart Cities,Advanced Hardware & Technology,2015.0,Mumbai,"Bipin Pradeep Kumar, Sumit D. Chowdhury",India,
Gajty,Health Tech,2015.0,Gurugram,Ashish Kumar,India,
GalaxEye,Advanced Hardware & Technology,2021.0,Bengaluru,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Rakshit Bhatt, Satyanarayanan Chakravarthy, Suyash Singh",India,"Rs 1,833,470,000.0"
GalaxyCard,Fintech,2018.0,New Delhi,"Gunjeet Singh,Amit Kumar",India,
Galgal,Fintech,2021.0,Mumbai,"Harsh Chhatrapati,Arun Iyer",India,"Rs 83,000,000.0"
Gallabox,Enterprise Tech,2020.0,Chennai,"Karthik Jagannathan,Yogesh Narayanan,Yathindhar Panchanathan",India,"Rs 685,580,000.0"
Galleri5,Media & Entertainment,2015.0,Bengaluru,"Movin Jain, Rahul Regulapati",India,
Game Theory,Media & Entertainment,2019.0,Bengaluru,Sudeep Kulkarni,India,"Rs 195,050,000.0"
GameEon Studios,Media & Entertainment,2013.0,Mumbai,"Namita Malankar, Nikhil Malankar",India,"Rs 126,160,000.0"
GameXS,Ecommerce,2012.0,Gurugram,"Abhishek Jain, Kabeer Jain",India,
Gamerji,Media & Entertainment,2019.0,Ahmedabad,"Soham Thacker, Valay Patel, Varun Gajjar",India,"Rs 373,500,000.0"
Games24x7,Media & Entertainment,2006.0,Mumbai,"Bhavin Pandya, Trivikraman Thampy",India,"Rs 6,225,000,000.0"
Gamezop,Media & Entertainment,2016.0,Gurugram,"Gaurav Agarwal, Yashash Agarwal",India,"Rs 709,650,000.0"
GamingMonk,Media & Entertainment,2014.0,New Delhi,"Abhay Sharma, Ashwin Haryani",India,
Gamitronics,Media & Entertainment,2017.0,Hyderabad,"Rajat Ojha, Rajiv Chilaka",India,"Rs 124,500,000.0"
Gamooz,Enterprise Tech,2012.0,Gurugram,Gaurav Wadhwa,India,
Ganit,Enterprise Tech,2017.0,Chennai,"Shivaprasad KT,Ashok Harwani,Hariharan Renganathan",India,
Gaon Connection,Media & Entertainment,2012.0,Lucknow,Neelesh Misra,India,
Gapoon,Consumer Services,2015.0,Bengaluru,"Ankit Bindal, Ankita Asai, Apoorva Mishra",India,
GarageOnRoad,Consumer Services,2016.0,New Delhi,"Prateek Ranjan, Rajesh Ranjan Srivastava",India,
GarageWorks,Consumer Services,2017.0,Pune,"Prabudh Kakkar,Shishir Gandhi,Nachiketa Dixit",India,"Rs 83,000,000.0"
Garden of Joy,Real Estate Tech,2022.0,Bengaluru,Sanyam Raheja,India,
Garuda Aerospace,,2015.0,Chennai,"Agnishwar Jayaprakash, Rithika Mohan",India,"Rs 2,082,470,000.0"
Gather,Enterprise Tech,2022.0,Mumbai,,India,
Gau Rakshak,Enterprise Tech,2022.0,New Delhi,,India,
GeNextStudents,Edtech,2012.0,Mumbai,"Ali Kagzi, Asad Daud, Piyush Dhanuka",India,"Rs 85,490,000.0"
Gear Head Motors,Clean Tech,2018.0,Hyderabad,"Nikhil Gunda, Sai Meher",India,
Geekster,Edtech,2020.0,Gurugram,"Ankit Maggu, Sahil Miglani",India,"Rs 120,350,000.0"
Gegadyne,Clean Tech,2015.0,Mumbai,"Jubin Varghese,Ameya Gadiwan",India,"Rs 415,000,000.0"
GemPundit.com,Ecommerce,2013.0,Gurugram,Nitin Yadav,India,
GenElek Tech,Advanced Hardware & Technology,2018.0,New Delhi,"John Kujur, Vivek Pandey",India,
GenLeap,Edtech,2021.0,Gurugram,"Nimish Gupta, Nitin Thakur, Sachin Sandhir, Shweta Kataria",India,"Rs 943,710,000.0"
GenRobotics,Advanced Hardware & Technology,2017.0,Trivandrum,"Nikhil NP, Vimal Govind MK",India,"Rs 245,680,000.0"
GenWise,Media & Entertainment,2023.0,New Delhi,"Geetanshu Singla,Nehul Malhotra,Rajat Jain",India,"Rs 581,000,000.0"
GenY Medium,Enterprise Services,2012.0,Hyderabad,"Ravi Jain, Richa Sethia, Yashwant Kumar",India,
GeneSys Biologics,Health Tech,2014.0,Hyderabad,D.V. Krishna Rao,India,
Genefied.ai,Enterprise Tech,2017.0,New Delhi,Ayush Jhawar,India,
General Aeronautics,,2016.0,Bengaluru,"Abhishek Burman,Anutosh Moitra,Kota Harinarayana",India,
General Autonomy,Advanced Hardware & Technology,2023.0,Bengaluru,"Farid Ahsan, Bhanu Pratap Singh",India,"Rs 249,000,000.0"
Generic Aadhaar,Health Tech,2019.0,Thane,Arjun Deshpande,India,
Generico,Health Tech,2017.0,Mumbai,"Siddharth Gadia,Girish Agarwal",India,"Rs 3,717,570,000.0"
Genesys International Corporation,Deeptech,1995.0,Mumbai,John O'Rourke,India,"Rs 2,663,470,000.0"
GenexEHR,Enterprise Tech,2014.0,Pune,Mukul Mustikar,India,
Genexis Biotech,Health Tech,2019.0,Vadodara,"Jitendra Wagh, Vipul Kumar",India,
GenieTalk,Enterprise Tech,2016.0,Indore,"Ankit Kimtee, Santosh Kataria, Vivek Jain",India,
Geniemode,Logistics,2021.0,Gurugram,"Amit Sharma, Tanuj Gangwani",India,"Rs 3,052,740,000.0"
Genii Technologies,Enterprise Tech,2011.0,Mumbai,"Aditya Anand, Varun Vohra",India,
Genius Corner,Edtech,2010.0,Noida,"Dheeraj Khatter, Vishal Khatter",India,
Genius Teacher,Edtech,2016.0,Mumbai,"Advitiya Sharma, Gaurav Lahoti, Ruturaj Atre, Shashank Pachore",India,"Rs 166,000,000.0"
Genworks,Health Tech,2015.0,Bengaluru,"Balaji R Raghupathy, Kiran Thadimarri, S Ganesh Prasad",India,"Rs 2,378,780,000.0"
Genylabs,Enterprise Tech,2016.0,Hyderabad,Ravi Jain,India,
GeoIQ,AI,2018.0,Bengaluru,"Ankita Thakur, Devashish Fuloria, Tusheet Shrivastava",India,"Rs 214,970,000.0"
Geosentry AI,Enterprise Tech,2023.0,Bengaluru,,India,
Gepo Aali,Agritech,2022.0,Dambuk,,India,
Germin8,Enterprise Tech,2007.0,Mumbai,"Raj Nair, Ranjit Nair",India,"Rs 448,200,000.0"
Get My Parking,Travel Tech,2015.0,New Delhi,"Chirag Jain, Rasik Pansare",India,"Rs 869,840,000.0"
Get My Peon,Consumer Services,2012.0,Mumbai,Bharat Ahirwar,India,
Get Parking,Enterprise Tech,2016.0,Mumbai,"Ashwin Hegde, Sachin Naik, Sumeet Sorabh Gupta, Yeshwant Manjunath Naik",India,
Get-A-Whey,Ecommerce,2018.0,Mumbai,"Jimmy Shah , Jash Shah",India,
GetFocus,Enterprise Tech,2013.0,Mumbai,Prateek Chaturvedi,India,
GetLitt!,Edtech,2017.0,Mumbai,"Richa Sethi, Priya Rajive",India,
GetLook,Consumer Services,2015.0,Bengaluru,"Gaurav Maheshwari, Ronak Sharda, Vatsala Kothari",India,
GetMeCab,Travel Tech,2010.0,New Delhi,"Amit Lakhotia, Bhola Meena, Kapil Sehgal, Sanjeev Duggal",India,
GetMega,Media & Entertainment,2018.0,Bengaluru,"Lokesh Jugad, Mayank Ram",India,"Rs 1,997,810,000.0"
GetMyUni,Edtech,2015.0,Bengaluru,"Hardik Thakkar, Upneet Grover",India,
GetSetHome,Real Estate Tech,2014.0,Mumbai,"Junaid Ahmed, Muddassar Virani, Shabnam Kadwani",India,"Rs 166,000,000.0"
GetSupp,Ecommerce,2022.0,Bengaluru,"Arpit Gupta,Deven Vyas",India,"Rs 98,770,000.0"
GetVantage,Fintech,2019.0,Mumbai,"Amit Srivastava, Bhavik Vasa, Sachin Tagra",India,"Rs 3,403,000,000.0"
GetWork,Consumer Services,2019.0,Gurugram,"Rahul Veerwal, Sumit Gupta",India,"Rs 92,960,000.0"
GetWyld,Media & Entertainment,2022.0,Mumbai,"Yash Sakhlecha, Dishant Sanghvi",India,
Ghar Se Naukri,Consumer Services,2014.0,Noida,"Ajat Shatru, Mamta Singh Deo, Pratibha Sharma, Sarika Gupta",India,
Gharkamai,Consumer Services,2008.0,New Delhi,Kachina Chawla,India,
Gho Agro,Ecommerce,2012.0,Chennai,,India,"Rs 648,230,000.0"
Ghost Kitchens,Foodtech,2019.0,Mumbai,"Karan Tanna, Karanraj Jayendrabhai Tanna",India,"Rs 410,850,000.0"
Giant Tech Labs,Media & Entertainment,2015.0,New Delhi,Praveer Kochhar,India,
Gibss,Clean Tech,2009.0,Mumbai,"Arun Shenoy, Mandar Kaprekar",India,
Gift2Greet.com,Ecommerce,2007.0,Madhapur,"Krish B., SriPhani Kumar",India,
GiftCardIndia,Ecommerce,2010.0,Malad,"Cory York, Firoz Khan",India,
GigIndia,Enterprise Tech,2017.0,Bengaluru,"Aditya Shirole, Sahil Sharma",India,
Giga Fun Studios,Media & Entertainment,2022.0,Bengaluru,"Krishnendu Mukherjee,Rahul Daga,Rahul Shekhar",India,"Rs 199,200,000.0"
Gigforce,Enterprise Tech,2020.0,Gurugram,"Anirudh Syal, Chirag Mittal, Parag Modi",India,"Rs 565,230,000.0"
GigsJam,Media & Entertainment,2014.0,New Delhi,Kate Mikaelson,India,
Gigstart,Media & Entertainment,2013.0,Mumbai,"Atit Jain, Madhulika Pandey",India,
Gigzoe,Enterprise Tech,2019.0,New Delhi,Ranu Gupta,India,
GimBooks,Fintech,2017.0,Raipur,Yash Raj Agarwal,India,
Gingercrush,Ecommerce,2015.0,Vadodara,"Rajvi Makol, Saumya Nidhi",India,"Rs 83,000,000.0"
Ginglani Distillers,Ecommerce,2012.0,New Delhi,Shivam Ginglani,India,"Rs 239,040,000.0"
Girmiti Software,Enterprise Services,2012.0,Bengaluru,"Sanjeev Patil, Suma Murthy",India,
Giscle Systems,Enterprise Tech,2017.0,Bengaluru,Suman Jha,India,
Gita Renewable Energy,Clean Tech,2010.0,Chennai,,India,
GiveIndia,Fintech,2000.0,Bengaluru,Venkat Krishnan,India,"Rs 270,580,000.0"
Gizmobaba,Ecommerce,2012.0,Mumbai,"Alok Chawla, Neeta Rijwani Chawla",India,
Gladful,Ecommerce,2021.0,Gurugram,"Manu Sharma, Parul Sharma",India,
Glam Studios,Consumer Services,2016.0,Noida,"Darakhshan Husain, Feeroz Khan, Sadiya Naseem",India,
GlamEgo,Ecommerce,2016.0,Hyderabad,"Lavanya Sunkari, Prabhakar Darakapalli",India,
Glamplus,Enterprise Tech,2020.0,Bengaluru,"Divyanshu Singh, Rohan Singh, Vatsalya Agarwal",India,"Rs 245,680,000.0"
Glamrs.com,Ecommerce,2012.0,Mumbai,Naveen Sadarangani,India,"Rs 83,000,000.0"
Glamyo Health,Health Tech,2019.0,New Delhi,"Archit Garg, Preet Pal Thakur",India,"Rs 456,500,000.0"
Glance,Enterprise Tech,2019.0,Bengaluru,"Abhay Singhal, Mohit Saxena, Naveen Tewari, Piyush Shah",India,"Rs 32,370,000,000.0"
Glaucus,Logistics,2015.0,New Delhi,"Jayant Mahto, Mandeep Kanwal, Nitin Dhingra, Vivek Kalra",India,
Glip,Media & Entertainment,2020.0,Bengaluru,"Parth Choudhary, Ishan Shrivastava",India,"Rs 747,000,000.0"
Global Care,Health Tech,2009.0,Gurugram,Rajeev Taneja,India,"Rs 249,000,000.0"
GlobalBees,Ecommerce,2021.0,New Delhi,"Nitin Agarwal, Supam Maheshwari",India,"Rs 23,204,310,000.0"
GlobalLinker,Ecommerce,2010.0,New Delhi,"Sameer Vakil, Summi Gambhir Leekha",India,
GlowRoad,Ecommerce,2017.0,Bengaluru,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma",India,"Rs 2,531,500,000.0"
Glowship,Clean Tech,2014.0,Bengaluru,Srinivas Potukuchi,India,
Gnani.ai,AI,2016.0,Bengaluru,"Ananth Nagaraj, Ganesh Gopalan",India,"Rs 332,000,000.0"
Go Colors,Ecommerce,2010.0,Chennai,Gautam Saraogi,India,"Rs 1,299,780,000.0"
Go Desi,Ecommerce,2018.0,Bengaluru,"Raksha Kothari, Vinay Kothari",India,"Rs 1,021,730,000.0"
Go Green Warehouses,Logistics,2012.0,Ahmedabad,Santosh Kumar Sahu,India,
Go GreenBOV,Clean Tech,2010.0,Bengaluru,Dhivik Ashok,India,
Go Zero,Ecommerce,2022.0,Mumbai,Kiran Shah,India,"Rs 207,500,000.0"
GoApptiv,Enterprise Tech,2016.0,Mumbai,"Rajasekhar Parcha, Sreeram Venkitaraman",India,"Rs 789,330,000.0"
GoBOLT,Enterprise Tech,2015.0,Gurugram,"Naitik Baghla, Parag Aggarwal, Sumit Sharma",India,"Rs 2,113,180,000.0"
GoBikes,Travel Tech,2018.0,New Delhi,Siddharth Chandra,India,
GoBumpr,Consumer Services,2015.0,Chennai,"Karthik Venkateswaran, Nandha Kumar Ravi, Sundar Natesan",India,
GoCodeo,Enterprise Tech,2023.0,Bengaluru,"Meghana Jagadeesh, Jatin Garg",India,
GoCoop,Ecommerce,2011.0,Bengaluru,Siva Devireddy,India,
GoFloat,Advanced Hardware & Technology,2019.0,Mumbai,Sarang Bora,India,
GoFloaters,Real Estate Tech,2017.0,Chennai,"Shyam Sundar Nagarajan, Srivatsan Padmanabhan",India,
GoFro,Travel Tech,2015.0,New Delhi,Amitabh Misra,India,"Rs 830,000,000.0"
GoGo Truck,Logistics,2015.0,Chennai,"Senthil Kumar, Vasister Arun",India,
GoHive,Real Estate Tech,2017.0,Gurugram,Mishu Ahluwalia,India,
GoJavas,Logistics,2013.0,Gurugram,"Ashish Choudhary,Praveen Sinha,Randhir Singh,Vijay Ghadge",India,"Rs 1,660,000,000.0"
GoKhana,Consumer Services,2017.0,Bengaluru,"Ankur Marda, Ashish Marballi",India,"Rs 91,300,000.0"
GoKwik,Enterprise Tech,2020.0,New Delhi,"Ankush Talwar, Chirag Taneja, Vivek Bajpai",India,"Rs 4,602,350,000.0"
GoLiveClass,Enterprise Tech,2022.0,Bhubaneswar,,India,
GoMechanic,Consumer Services,2016.0,Gurugram,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",India,"Rs 5,720,360,000.0"
GoPaani,Enterprise Tech,2019.0,Indore,"Ankit Ranka, Arpit Sharda",India,
GoPigeon,Logistics,2015.0,Bengaluru,"Deovrat Singh, Sourav Sarker, Yeshu Singh",India,"Rs 124,500,000.0"
GoPik,Fintech,2017.0,Bhubaneswar,"Sashwat Brahma, Yash Parekh",India,
GoRally,Media & Entertainment,2024.0,Bengaluru,"Sam Sancheti,Abhinav Shankar",India,
GoSats,Fintech,2020.0,Bengaluru,"Mohammed Roshan, Roshni Aslam",India,"Rs 408,360,000.0"
GoTo Mobility,Travel Tech,2020.0,Pune,"aaa sss, Akhilesh Sagar, Harsh Vardhan Sharma, Suyog Bora",India,
GoTrust,Enterprise Tech,2023.0,Noida,Himanshu Gautam,India,
GoWork India,Real Estate Tech,2017.0,Gurugram,Nimit Mahajan,India,"Rs 4,399,000,000.0"
GoYaNo,Consumer Services,2015.0,Gurugram,"Gaurav Singh, Gaurav Singh, Nitin Sharma",India,
GoZefo,Ecommerce,2015.0,Bengaluru,"Arjit Gupta, Himesh Joshi, Karan Gupta, Rohit Ramasubramanian",India,"Rs 1,577,000,000.0"
Goa Brewing Company,Alcoholic Beverages,2017.0,Goa,"Ashtavinayak Paradh, Suraj Ulhas Shenai",India,"Rs 102,090,000.0"
GoalTeller,Fintech,2020.0,Bengaluru,"Abhisek Puglia, Vivek Banka",India,
Goals101,Fintech,2016.0,New Delhi,"Jubin Mehta, Milan Naik, Raghu Mohapatra, Visham Sikand",India,"Rs 290,500,000.0"
Goalwise,Fintech,2015.0,Bengaluru,Swapnil Bhaskar,India,"Rs 83,000,000.0"
Goamiles,Travel Tech,2018.0,Goa,"Parashar Pai Khot, Sachin Bhavsar, Utkarsh Dabhade",India,
Goathlos,Ecommerce,2015.0,Mumbai,"Pravin Dhake, Shruti Kamath",India,
Gobasco,Agritech,2017.0,New Delhi,"Abhishek Sharma, Pranshu Aditya, Vedant Katiyar",India,
GobbleCube,Enterprise Tech,2022.0,Gurugram,"Manas Gupta, Nitesh Jindal, Srikumar Nair",India,"Rs 157,700,000.0"
Gobbly,Enterprise Tech,2019.0,Gurugram,"Amit Ahuja, Ankur Agrawal",India,"Rs 202,520,000.0"
Gobillion,Ecommerce,2020.0,New Delhi,"Roshan Farhan,Kulapradip Bharali",India,"Rs 240,700,000.0"
Gocarin,Agritech,2022.0,Bengaluru,,India,
Godamwale,Logistics,2016.0,Mumbai,"Anand Aryamane, Basant Kumar, Ranbir Nandan, Vivek Tiwari",India,"Rs 83,000,000.0"
Godi,Clean Tech,2020.0,Hyderabad,Mahesh Godi,India,
Gold Farm,Agritech,2013.0,Bengaluru,"Abhilash Thirupathy, Karthic Ravindranath",India,"Rs 207,500,000.0"
GoldSetu,Enterprise Tech,2021.0,Bengaluru,"Anuj Sachdev, Vikas Verma",India,"Rs 190,070,000.0"
GoldUno,Fintech,2016.0,Mumbai,Sharad Ingule,India,
GoldenPi,Fintech,2017.0,Bengaluru,"Abhijit Roy, Samir Baran Pratihar",India,"Rs 204,180,000.0"
Goldi Solar Pvt. Ltd.,Clean Tech,2011.0,Surat,Chetan Sureshchandra Shah,India,
GolfLAN,Consumer Services,2011.0,New Delhi,Dhruv Verma,India,"Rs 182,600,000.0"
Gonuts,Media & Entertainment,2020.0,Mumbai,"Joji George, Mayank Gupta, Vinamra Pandiya",India,
Good Fettle,Ecommerce,2018.0,Mumbai,"Akhil Gupta,Ayush Gupta",India,
Good Flippin Burgers,Foodtech,2019.0,Mumbai,"Sid Marchant,Sijo Mathew,Viren Dsilva",India,"Rs 721,270,000.0"
