name,sector,founded,headquarters,founders,country,amount_raised_inr
AGMOVE Robotics,Agritech,2023.0,Bengaluru,,India,
AGNIT Semiconductors,Deeptech,2019.0,Bengaluru,"Digbijoy Nath, Hareesh Chandrasekar, Madhusudan Atre, Mayank Shrivastava, Muralidharan Rangarajan, Shankar Kumar Selvaraja, Srinivasan Raghavan",India,"Rs 290,500,000.0"
AHA Taxis,Travel Tech,2015.0,Noida,"Amit Grover, Arayan Kummar Sharma, Kunal Krishna, Praveen Samariya, Shivam Mishra",India,
AHAsolar Technologies,Enterprise Tech,2017.0,Ahmedabad,"Piyush Bhatt, Pulkit Dhingra, Shatrughan Yadav, Vipin Sharma",India,
AISTECHX International,Edtech,2022.0,Pune,"Akash Mahapatra, Jagatananda Mohapatra",India,
ALCIS Sports,Ecommerce,2015.0,Noida,"Ravish Nanda, Roshan Baid",India,
ALQUA,Ecommerce,2022.0,Bengaluru,,India,
ALT CARBON,Clean Tech,2023.0,Bengaluru,"Shrey Agarwal,Sparsh Agarwal",India,
ALYF,Real Estate Tech,2021.0,Mumbai,"Saurabh Vohara,Karan Chandiok",India,"Rs 124,500,000.0"
AM Needs,Consumer Services,2019.0,Thiruvananthapuram,"Ranjith Balan,Sujith Sudhakaran",India,
AMPM,Consumer Services,2018.0,Gurugram,Naveen Ghalyan,India,
ANS Commerce,Enterprise Tech,2017.0,Gurugram,"Amit Monga, Nakul Singh, Sushant Puri, Vibhor Sahare",India,"Rs 185,090,000.0"
ANSCER,Advanced Hardware & Technology,2020.0,Bengaluru,"Ebin Sunny, Raghu Venkatesh, Ribin Mathew",India,
APAC Financial Services,Fintech,2017.0,Parel,"Gunit Chadha,Randhir Singh",India,"Rs 2,905,000,000.0"
API Swan,Enterprise Tech,2023.0,Mumbai,,India,
APRUS Bio-Medical Innovations,Health Tech,2016.0,Bengaluru,Anand Iyer,India,
ARM Worldwide,Enterprise Services,2013.0,New Delhi,"Abhishek Punia, Honey Singh, Manas Gulati, Ritesh Singh",India,
ARTH,Fintech,2018.0,Gurugram,Shweta Aprameya,India,"Rs 207,500,000.0"
ARYA,Clean Tech,2022.0,Bengaluru,Mohit Gupta,India,"Rs 986,040,000.0"
ASADELTECH,Enterprise Tech,2015.0,New Delhi,Partha Sarthi Guha Patra,India,
ASK Pravi,,2011.0,,,India,
ASPIC Innovations,Health Tech,2021.0,Kolkata,"Indrajit Chatterjee, Pradip Bhowmick",India,
ASQI Advisors,Enterprise Tech,2019.0,Mumbai,Swapnil Pawar,India,"Rs 83,000,000.0"
ATAI,Enterprise Tech,2018.0,Hyderabad,Gangadhar Gude,India,
AU Small Finance Bank,Fintech,2017.0,Jaipur,Sanjay Agarwal,India,"Rs 45,006,750,000.0"
AVG Logistics,Logistics,2010.0,New Delhi,Sanjay Gupta,India,"Rs 120,350,000.0"
AVIN Systems,Enterprise Services,2014.0,Bengaluru,,India,
AZAD Engineering,Deeptech,1983.0,Hyderabad,Rakesh Chopdar,India,"Rs 1,660,000,000.0"
Aadar,Ecommerce,2018.0,Mumbai,"Aadil Shah, Pratul Mangal",India,
Aadhar Housing Finance,Fintech,2010.0,Mumbai,Kapil Wadhawan,India,"Rs 6,225,000,000.0"
Aadvik Foods,Ecommerce,2015.0,New Delhi,"Hitesh Rathi,Shrey Kumar",India,
Aadyah Aerospace,Advanced Hardware & Technology,2016.0,Bengaluru,Shaju Stephen,India,"Rs 249,000,000.0"
Aagaar,Consumer Services,2014.0,Gurugram,Deepak Saharawat,India,
Aagey,Fintech,2016.0,Bengaluru,"Akaash Shankar, Deepak Mishra, Ramkumar Thirumurthi",India,
Aahaa stores,Ecommerce,2013.0,Chennai,Asokan Sattanathan,India,"Rs 351,920,000.0"
Aakar Innovations,Ecommerce,2011.0,Navi Mumbai,"Jaydeep Mandal, Sombodhi Ghosh",India,
Aakash Educational Services,Edtech,1988.0,New Delhi,"Aakash Chaudhry, J. C. Chaudhry",India,"Rs 40,726,440,000.0"
Aalgro Foods Pvt. Ltd,Ecommerce,2013.0,Bengaluru,Sahil Goyal,India,
Aantriksh,Deeptech,2017.0,Bengaluru,Ankit Kumar,India,
Aapkapainter,Consumer Services,2012.0,Bengaluru,Anupam Singh,India,
Aaritya Technologies,Fintech,2023.0,Bengaluru,Dale Vaz,India,
AarogyaAI,Enterprise Tech,2019.0,Bengaluru,"Avlokita Tiwari, Praapti Jayaswal",India,
Aasaanjobs,Consumer Services,2014.0,Mumbai,"Dinesh Goel, Gaurav Toshniwal, Kunal Jadhav",India,"Rs 539,500,000.0"
Aastey,Ecommerce,2021.0,Mumbai,"Jeevika Tyagi, Kanupriya Mundhra",India,"Rs 111,220,000.0"
Aavas Financiers,Fintech,2011.0,Jaipur,Sushil Kumar Agarwal,India,"Rs 6,518,820,000.0"
Aayu by MedCords,Health Tech,2017.0,Kota,"Nikhil Baheti, Saida Dhanavath, Shreyans Mehta",India,"Rs 349,430,000.0"
AayushBharat,Health Tech,2020.0,Kota,"Vaibhav Jain,Vishal Bhatnagar",India,
Abcence,Enterprise Services,2022.0,Kolkata,Md Anan Islam,India,
AbeRuk,Ecommerce,2015.0,Bengaluru,"Sidharth Kumar, Sidharth Shankar",India,
AbhiBus,Travel Tech,2007.0,Hyderabad,Sudhakar Reddy,India,
Abhiloans,Fintech,2015.0,New Delhi,"Deepit Singh, Mandeep Chaudhary",India,
Abhinay Maths,Edtech,2018.0,New Delhi,Abhinay Sharma,India,
Abhiyantrik Solutions,Real Estate Tech,2022.0,Hubballi,Akshaykumar Sunagar,India,
