name,sector,founded,amount_raised,headquarters,founders,country
91Squarefeet,Real Estate Tech,2019.0,$12.00 Mn+,Gurugram,"Amit Bansal, Amit Mishra, Puneet Bansal",India
99 Pancakes,Foodtech,2017.0,$2.38 Mn+,Mumbai,Vikesh Shah,India
99Games,Media & Entertainment,2008.0,$5.00 Mn+,Udupi,Rohith Bhat,India
99PerHour,Consumer Services,2015.0,$300.00K+,Hyderabad,"Shanker K, Vidhyaa Kaipa",India
99Tests,Enterprise Tech,2011.0,$210.00K+,Bengaluru,"Naveen Kumar, Praveen Singh",India
9Unicorns Accelerator Fund,,2020.0,,Mumbai,,India
9stacks,Media & Entertainment,2017.0,$5.38 Mn+,New Delhi,"Pratik Kumar, Rishab Mathur, Sudhir Kamath",India
A Toddler Thing,Ecommerce,2017.0,$266.20K+,Coimbatore,"Swathi Sri, Ashwanth Suresh Babu",India
A47.in,Ecommerce,2015.0,,Mumbai,Bhavik Vora,India
ABF&I Enterprises,Enterprise Services,2022.0,,Dibrugarh,,India
ABI Health,Enterprise Tech,2013.0,$11.50 Mn+,Bengaluru,"AJIT VEERAPPAN, BALAJI SUNDARARAJAN",India
ABL Workspaces,Real Estate Tech,2017.0,$2.00 Mn+,New Delhi,"Ankur Gupta,Akshita Gupta",India
ACME Solar,Clean Tech,2003.0,$676.30 Mn+,Gurugram,Manoj Upadhyay,India
ACT Fibernet,Enterprise Tech,2008.0,$500.00 Mn+,Bengaluru,Sunder Raju,India
ACadru,Edtech,2016.0,$500.00K+,Gurugram,"Abhishek Singhal, Kamini Vidisha",India
AEON Learning,Edtech,2013.0,$3.20 Mn+,Bengaluru,"Karthik K S, Vikalp Jain",India
AFK Gaming,Media & Entertainment,2012.0,$200.00K+,Mumbai,"Nishant Patel, Rakesh Ramchandran,Siddharth Nayyar",India
AGATSA,Health Tech,2010.0,$6.79 Mn+,Noida,"Neha Agarwal, Sandeep Srivastava",India
AGMOVE Robotics,Agritech,2023.0,,Bengaluru,,India
AGNIT Semiconductors,Deeptech,2019.0,$3.50 Mn+,Bengaluru,"Digbijoy Nath, Hareesh Chandrasekar, Madhusudan Atre, Mayank Shrivastava, Muralidharan Rangarajan, Shankar Kumar Selvaraja, Srinivasan Raghavan",India
AHA Taxis,Travel Tech,2015.0,,Noida,"Amit Grover, Arayan Kummar Sharma, Kunal Krishna, Praveen Samariya, Shivam Mishra",India
AHAsolar Technologies,Enterprise Tech,2017.0,,Ahmedabad,"Piyush Bhatt, Pulkit Dhingra, Shatrughan Yadav, Vipin Sharma",India
AISTECHX International,Edtech,2022.0,,Pune,"Akash Mahapatra, Jagatananda Mohapatra",India
ALCIS Sports,Ecommerce,2015.0,,Noida,"Ravish Nanda, Roshan Baid",India
ALQUA,Ecommerce,2022.0,,Bengaluru,,India
ALT CARBON,Clean Tech,2023.0,$550.00K+,Bengaluru,"Shrey Agarwal,Sparsh Agarwal",India
ALYF,Real Estate Tech,2021.0,$1.50 Mn+,Mumbai,"Saurabh Vohara,Karan Chandiok",India
AM Needs,Consumer Services,2019.0,,Thiruvananthapuram,"Ranjith Balan,Sujith Sudhakaran",India
AMPM,Consumer Services,2018.0,$218.35K+,Gurugram,Naveen Ghalyan,India
ANS Commerce,Enterprise Tech,2017.0,$2.23 Mn+,Gurugram,"Amit Monga, Nakul Singh, Sushant Puri, Vibhor Sahare",India
ANSCER,Advanced Hardware & Technology,2020.0,,Bengaluru,"Ebin Sunny, Raghu Venkatesh, Ribin Mathew",India
APAC Financial Services,Fintech,2017.0,$35.00 Mn+,Parel,"Gunit Chadha,Randhir Singh",India
API Swan,Enterprise Tech,2023.0,,Mumbai,,India
APRUS Bio-Medical Innovations,Health Tech,2016.0,,Bengaluru,Anand Iyer,India
ARM Worldwide,Enterprise Services,2013.0,,New Delhi,"Abhishek Punia, Honey Singh, Manas Gulati, Ritesh Singh",India
ARTH,Fintech,2018.0,$2.50 Mn+,Gurugram,Shweta Aprameya,India
ARYA,Clean Tech,2022.0,$11.88 Mn+,Bengaluru,Mohit Gupta,India
ASADELTECH,Enterprise Tech,2015.0,,New Delhi,Partha Sarthi Guha Patra,India
ASK Pravi,,2011.0,,,,India
ASPIC Innovations,Health Tech,2021.0,,Kolkata,"Indrajit Chatterjee, Pradip Bhowmick",India
ASQI Advisors,Enterprise Tech,2019.0,$1.00 Mn+,Mumbai,Swapnil Pawar,India
ATAI,Enterprise Tech,2018.0,,Hyderabad,Gangadhar Gude,India
AU Small Finance Bank,Fintech,2017.0,$542.25 Mn+,Jaipur,Sanjay Agarwal,India
AVG Logistics,Logistics,2010.0,$1.45 Mn+,New Delhi,Sanjay Gupta,India
AVIN Systems,Enterprise Services,2014.0,,Bengaluru,,India
AZAD Engineering,Deeptech,1983.0,$20.00 Mn+,Hyderabad,Rakesh Chopdar,India
Aadar,Ecommerce,2018.0,$250.00K+,Mumbai,"Aadil Shah, Pratul Mangal",India
Aadhar Housing Finance,Fintech,2010.0,$75.00 Mn+,Mumbai,Kapil Wadhawan,India
Aadvik Foods,Ecommerce,2015.0,$72.74K+,New Delhi,"Hitesh Rathi,Shrey Kumar",India
Aadyah Aerospace,Advanced Hardware & Technology,2016.0,$3.00 Mn+,Bengaluru,Shaju Stephen,India
Aagaar,Consumer Services,2014.0,,Gurugram,Deepak Saharawat,India
Aagey,Fintech,2016.0,$183.00K+,Bengaluru,"Akaash Shankar, Deepak Mishra, Ramkumar Thirumurthi",India
Aahaa stores,Ecommerce,2013.0,$4.24 Mn+,Chennai,Asokan Sattanathan,India
Aakar Innovations,Ecommerce,2011.0,,Navi Mumbai,"Jaydeep Mandal, Sombodhi Ghosh",India
Aakash Educational Services,Edtech,1988.0,$490.68 Mn+,New Delhi,"Aakash Chaudhry, J. C. Chaudhry",India
Aalgro Foods Pvt. Ltd,Ecommerce,2013.0,,Bengaluru,Sahil Goyal,India
Aantriksh,Deeptech,2017.0,$123.61K+,Bengaluru,Ankit Kumar,India
Aapkapainter,Consumer Services,2012.0,,Bengaluru,Anupam Singh,India
Aaritya Technologies,Fintech,2023.0,,Bengaluru,Dale Vaz,India
AarogyaAI,Enterprise Tech,2019.0,$700.00K+,Bengaluru,"Avlokita Tiwari, Praapti Jayaswal",India
