name,sector,founded,headquarters,founders,country,amount_raised_inr,state
Elchemy,Enterprise Tech,2021.0,Mumbai,"Hardik Seth, Shobhit Jain",India,"Rs 630,800,000.0",Maharashtra
Elda Health,Ecommerce,2020.0,Bengaluru,"Dr. Ameya Kanakiya, Shubham Sharma, Siddhant Mishra, Swathi Kulkarni",India,"Rs 124,500,000.0",Karnataka
ElderAid,Health Tech,2015.0,Bengaluru,"Santosh Abraham, Vandana Nadig Nair",India,,Karnataka
ElectraEV,Clean Tech,2017.0,Pune,Ratan N Tata,India,"Rs 2,075,000,000.0",Maharashtra
ElectricPe,Clean Tech,2021.0,Bengaluru,"Avinash Sharma, Raghav Rohila",India,"Rs 1,012,600,000.0",Karnataka
Electrifi Mobility,Enterprise Tech,2023.0,Gurugram,"Kunal Mundra, Nikhil Aggarwal",India,"Rs 249,830,000.0",Haryana
Electrifuel,Clean Tech,2017.0,Gurugram,"Abhishek Kumar, Sumesh Kumar, Sunil Kumar, Ujjwal Bhardwaj",India,,Haryana
Electronic Payment and Services,Fintech,2011.0,Mumbai,"Mani Mamallan,Sanjay Kapoor,Vidya Mamallan",India,"Rs 2,988,000,000.0",Maharashtra
Elektropod Technologies,Clean Tech,2022.0,Bengaluru,,India,,Karnataka
Elemential,Enterprise Tech,2015.0,Mumbai,"Anil Dukkipatty, Raunaq Vaisoha",India,,Maharashtra
Eleqzee,Clean Tech,2022.0,Jhansi,"Azhar Hasan, Saumitra Singh",India,,Uttar Pradesh
Elevar Sports,Ecommerce,2017.0,Mumbai,"Aayush Tapuriah, Kunal Kunal",India,"Rs 214,970,000.0",Maharashtra
Elevate Now,Health Tech,2022.0,New Delhi,Rahul Maroli,India,,Delhi
ElevateHQ,Enterprise Tech,2020.0,Gurugram,"Apoorv Singh, Kartik Arora",India,"Rs 91,300,000.0",Haryana
Eleve Media,Enterprise Services,2013.0,Gurugram,"Kritika Arora Khanna, Prince Khanna, Rohit Khanna",India,,Haryana
Elever,Fintech,2020.0,Bengaluru,"Anshul Sharan, Karan Aggarwal, Ramakrishnan Subramaniam, Santosh Aiyar",India,,Karnataka
Elivaas,Travel Tech,2022.0,Gurugram,"Karan Miglani, Ritwik Khare",India,"Rs 622,500,000.0",Haryana
Elixia Tech,Logistics,2011.0,Mumbai,"Mrudang Vora, Sanket Sheth",India,"Rs 166,000,000.0",Maharashtra
ElkanIO,Enterprise Tech,2017.0,Bengaluru,Amjad Naushad,India,,Karnataka
Ellementry,Ecommerce,2018.0,Jaipur,"Ayush Baid, Dileep Baid",India,,Rajasthan
Ellipsol,Clean Tech,2022.0,Gurugram,"Samarth Jain,Kaustubh Tyagi",India,,Haryana
EloElo,Media & Entertainment,2020.0,Bengaluru,"Akshay Dubey, Saurabh Pandey",India,"Rs 3,079,300,000.0",Karnataka
Em & Em Personal Care,Ecommerce,2014.0,Pune,Mohit Lalvani,India,,Maharashtra
Embibe,Edtech,2012.0,Bengaluru,Aditi Avasthi,India,"Rs 23,611,840,000.0",Karnataka
Embright Infotech,Edtech,2017.0,Thiruvananthapuram,"Bobin Chandra, Sathyanarayanan Ar",India,,Kerala
EmerTech Innovations,Web3,2019.0,Mumbai,"Ganesh Anantwar, Gaurav Somwanshi, Manish Verma",India,,Maharashtra
Emerging talks,Enterprise Services,2022.0,Mumbai,"Amit Chhabria, Shubhangi Sharma",India,,Maharashtra
Emflux Motors,Clean Tech,2016.0,Bengaluru,"Ankit Khatry, Varun Mittal, Vinay Raj Somashekher",India,,Karnataka
Emiza,Logistics,2015.0,Mumbai,"Ajay Rao,Jitendra Kumar",India,"Rs 1,727,230,000.0",Maharashtra
Emoha Elder Care,Health Tech,2019.0,Gurugram,Saumyajit Roy,India,"Rs 1,014,260,000.0",Haryana
Emojifi,Media & Entertainment,2016.0,Bengaluru,Manan Maheshwari,India,,Karnataka
EmpiricalTech,Enterprise Tech,2022.0,Bikaner,Akshay Tiwari,India,,Rajasthan
Empower Fitness Club,Health Tech,2006.0,Pune,Ruchi Mam,India,"Rs 94,620,000.0",Maharashtra
Emsphere Technologies,Enterprise Tech,2015.0,Pune,"Hrishikesh Barhate, Yogesh Ingale",India,,Maharashtra
Emversity,Edtech,2023.0,Bengaluru,Vivek Sinha,India,"Rs 908,850,000.0",Karnataka
EnFuse Solutions,Enterprise Services,2017.0,Mumbai,"Imran Ansari, Kamran Shaikh, Rahul Gandhi, Zaynul Mira",India,,Maharashtra
EnKash,Fintech,2018.0,Mumbai,"Hemant Vishnoi, Naveen Bindal, Yadvendra Tyagi",India,"Rs 1,909,000,000.0",Maharashtra
Enakshi,Ecommerce,2018.0,Ahmedabad,"Maharsh Shah, Namya Patel",India,,Gujarat
Endimension,Enterprise Tech,2018.0,Mumbai,"Apparao M L V, Bharadwaj Sai Komaravolu, Kurien Zacharia",India,"Rs 85,490,000.0",Maharashtra
Endless Robotics,Advanced Hardware & Technology,2015.0,Hyderabad,Srikar Reddy,India,,Telangana
EndureAir,,2019.0,Noida,"Abishek,Rama Krishna,Chirag Jain,Dr. Mangal Kothari",India,"Rs 140,270,000.0",Uttar Pradesh
Enercomp,,2013.0,Ahmedabad,"Jatin Patel,SURESH SHAHDADPURI",India,,Gujarat
Energyly,Enterprise Tech,2015.0,Chennai,"Dayal Nathan, Dilip Rajendran",India,,Tamil Nadu
Enerjazz,Clean Tech,2018.0,Noida,Ravi Bharihoke,India,,Uttar Pradesh
Engazify,Enterprise Tech,2015.0,Pune,Siddharth Shekhawat,India,,Maharashtra
EngineerBabu,Enterprise Tech,2014.0,Indore,"Aditi Chaurasia, Mayank Pratap",India,,Madhya Pradesh
Engishleap,Edtech,2011.0,New Delhi,"Apar Sureka, Saurabh Chopra",India,,Delhi
Engrave,Ecommerce,2011.0,Mumbai,Nimish Adani,India,,Maharashtra
Enixta,Enterprise Tech,2014.0,Hyderabad,Giri Devanathan,India,,Telangana
Enlightiks,Enterprise Tech,2012.0,Bengaluru,"Bas Nair, Vamsi Chandra Kasivajjala, Venkatesh Pagidimarri",India,,Karnataka
Enlite Research,Enterprise Tech,2018.0,Mumbai,"Garima Bharadwaj, Gaurav Bali",India,,Maharashtra
Enlog,Deeptech,2017.0,Gurugram,"Ayush Gupta, Bharath Kumar, Jharna Saha, None None",India,,Haryana
Enmovil,Enterprise Tech,2016.0,Hyderabad,"Nanda Kishore, Ravi Bulusu, Venkat Moganty",India,"Rs 108,730,000.0",Telangana
Enparadigm,Enterprise Tech,2015.0,Mumbai,"Arun Subramanian, Hanuman Kamma, John Cherian, Kumar Veetrag",India,"Rs 83,000,000.0",Maharashtra
Enrico,Ecommerce,2017.0,Andheri,Kavin Khara,India,,Maharashtra
Enrouto,Travel Tech,2015.0,Mumbai,Bhargavi Desai,India,,Maharashtra
Enso Logic,Enterprise Tech,2019.0,New Delhi,"Anil Agrawal,Kunal Jain,Shikha Agarwal,Anil Agrawal,Kunal Jain,Shikha Agarwal",India,"Rs 98,770,000.0",Delhi
Ensuredit,Fintech,2019.0,Gurugram,"Amit Boni, Rohit Rathi, Rohit Sadhu, Sachin Mandon, Vikas Ranga",India,"Rs 373,500,000.0",Haryana
Enthu.AI,Enterprise Tech,2021.0,Mohali,"Parth Verma, Tushar Jain, Gaurav Mittal",India,,Punjab
Entitled Solutions,Enterprise Tech,2019.0,Mumbai,"Anshul Khurana, Arpan Jain, Krishna Yadav, Monica Chettiar, Vishal Singh",India,"Rs 107,900,000.0",Maharashtra
Entrackr,Media & Entertainment,2017.0,Gurugram,"Jai Vardhan, Jitendra Singh",India,,Haryana
Entri,Edtech,2015.0,Kochi,"Mohammed Hisamuddin, Rahul Ramesh",India,"Rs 1,132,120,000.0",Kerala
Entropik,Enterprise Tech,2016.0,Bengaluru,"Bharat Shekhawat, Lava Kumar, Ranjan Kumar",India,"Rs 2,849,390,000.0",Karnataka
Entropy Innovations,Deeptech,2013.0,Mumbai,"Jigar Vora, Niraj Taksande, Raghavendra Bhushan Karn",India,,Maharashtra
Entuple E-Mobility,Enterprise Tech,2019.0,Bengaluru,"Rakesh Mishra,Mehta S Damodaran,Vinay Goel",India,"Rs 250,660,000.0",Karnataka
Envoged,Ecommerce,2014.0,Mumbai,"Anandita Singh, Manisha Barnwal, Saahil Narang",India,,Maharashtra
Eon Space Labs,Advanced Hardware & Technology,2021.0,Hyderabad,"Punit Badeka, Manoj Kumar, Sanjay Kumar",India,"Rs 99,600,000.0",Telangana
Epicure Robotics,Advanced Hardware & Technology,2022.0,Bengaluru,"Aditya Mehta,Gokulraj K S",India,,Karnataka
Epigamia,Ecommerce,2015.0,Mumbai,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Uday Thakker",India,"Rs 4,987,470,000.0",Maharashtra
Epigeneres Biotech,Health Tech,2008.0,Mumbai,"Sanjeev Khandelwal,VK Tripathi",India,"Rs 498,000,000.0",Maharashtra
Epiphany Ventures,,2009.0,Mumbai,,India,,Maharashtra
Eplane,Deeptech,2019.0,Chennai,Prof. Satya Chakravarthy,India,"Rs 498,000,000.0",Tamil Nadu
Equal Identity,Deeptech,2022.0,Hyderabad,"Keshav Reddy, Rajeev Ranjan",India,"Rs 830,000,000.0",Telangana
Equip.co,Enterprise Tech,2022.0,Bengaluru,Jayanth Neelakanta,India,,Karnataka
Equiphunt,Real Estate Tech,2016.0,Hyderabad,Shashank Dangayach,India,,Telangana
Equitas Small Finance Bank,Fintech,2007.0,Chennai,P.N Vasudevan,India,"Rs 15,716,050,000.0",Tamil Nadu
EquityList,Fintech,2020.0,New Delhi,Kashish Sharma,India,"Rs 182,600,000.0",Delhi
Ergos,Agritech,2012.0,Bengaluru,"Kishor Kumar Jha, Praveen Kumar",India,"Rs 1,791,140,000.0",Karnataka
ErlySign,Health Tech,2019.0,Nagpur,"Dr Deovrat Begde, Shubhendra Singh Thakur",India,"Rs 166,000,000.0",Maharashtra
Eruditus Executive Education,Edtech,2010.0,Mumbai,"Ashwin Damera, Chaitanya Kalipatnapu",India,"Rs 108,730,000,000.0",Maharashtra
Eruvaka Technologies,Fintech,2012.0,Hyderabad,Sreeram Raavi,India,,Telangana
Esah Tea,Ecommerce,2017.0,Mangaldoi,Bijit Sarma,India,,Assam
Escrowpay,Fintech,2015.0,Gurugram,"Ashwin Chawwla, Subhrangshu Neogi",India,"Rs 892,250,000.0",Haryana
Eske,Ecommerce,2012.0,Mumbai,Shivam Khanna,India,"Rs 151,890,000.0",Maharashtra
Esmito,Clean Tech,2018.0,Chennai,"Hasan Ali,Prabhjot Kaur,Akhila Vijaykumar,Hasan Ali,Prabhjot Kaur",India,"Rs 103,750,000.0",Tamil Nadu
Esperer Nutrition,Health Tech,2018.0,Mumbai,Raktim Chattopadhyay,India,,Maharashtra
EsportsXO,Media & Entertainment,2020.0,Bengaluru,"Vikas Goel,Usav Xo,Rohit Raj",India,"Rs 91,300,000.0",Karnataka
Estate Dekho,Real Estate Tech,2020.0,Hyderabad,"Deepak Kumar, Ranjith Vasireddy",India,,Telangana
Eternz,Ecommerce,2023.0,Bengaluru,Arthi Ramalingam,India,,Karnataka
Ethereal Machines,Deeptech,2014.0,Bengaluru,"KAUSHIK MUDDA, Navin Jain",India,"Rs 1,772,880,000.0",Karnataka
EtherealX,Advanced Hardware & Technology,2022.0,Bengaluru,"Manu J Nair, Prashanth Sharma, Shubhayu Sardar",India,"Rs 415,000,000.0",Karnataka
Etrav,Enterprise Tech,2015.0,Mumbai,"Heniel Rupaarelia,Paresh Ruparelia",India,"Rs 328,680,000.0",Maharashtra
Etric,Travel Tech,2022.0,Hyderabad,,India,,Telangana
Etrio,Clean Tech,2017.0,Hyderabad,DEEPAK MV,India,"Rs 249,000,000.0",Telangana
Eugenie AI,Enterprise Tech,2018.0,Mumbai,Dr. Soudip Roy Chowdhury,India,,Maharashtra
Euler Motors,Clean Tech,2018.0,New Delhi,Saurav Kumar,India,"Rs 12,411,820,000.0",Delhi
Eupheus Learning,Edtech,2017.0,New Delhi,"Amit Kapoor, Sarveshwar Shrivastava, Ved Prakash Khatri",India,"Rs 1,527,200,000.0",Delhi
Evanik Networks,Fintech,2015.0,Noida,"Harsh Ranjan, Mayank Kumar",India,,Uttar Pradesh
Eveez,Travel Tech,2019.0,Gurugram,"Gaurav Rathore,Abhishek Dwivedi",India,,Haryana
Evelabs,Enterprise Tech,2016.0,Trivandrum,"Sanjai Rajendran, Sruthy Gopal, Vishnu Ms",India,,Kerala
Even,Health Tech,2020.0,Bengaluru,"Alessandro Davide Ialongo, Matilde Giglio, Mayank Banerjee",India,"Rs 5,847,350,000.0",Karnataka
Evenflow,Ecommerce,2021.0,Bengaluru,"Pulkit Chhabra, Utsav Agarwal",India,"Rs 415,000,000.0",Karnataka
EventBeep,Edtech,2019.0,Pune,"Harshith M, Harshith Mullapudi, Rakhi Pal, Saurabh Mangrulkar, Shubham Dange, Venkatesh Prasad",India,,Maharashtra
Eventifier,Enterprise Tech,2012.0,Bengaluru,"Jazeel Badur Ferry, Mohammed Saud, Nazim Zeeshan",India,,Karnataka
Eventila,Consumer Services,2016.0,Gurugram,Deepti Prasad,India,,Haryana
Eventjini,Media & Entertainment,2011.0,Chennai,Sandilya Venkatesh,India,,Tamil Nadu
Eventosaur,Consumer Services,2015.0,Bengaluru,Nikhil Jois,India,,Karnataka
Events High,Media & Entertainment,2014.0,Bengaluru,"Abhishek Shrivastava, Arvind Batra, Nikesh Garera, Parag Sarda",India,,Karnataka
Evera,Travel Tech,2019.0,New Delhi,"Nimish Trivedi,Rajeev Tiwari,Vikas Bansal",India,"Rs 581,000,000.0",Delhi
Everest Fleet,Logistics,2016.0,Thane,"Amar Kerkar, Anand Chheda, Himani Ladsariya, Monil Sheth, Prihaans Dedhiya, Shivang Unadkat, Siddharth Ladsariya",India,"Rs 4,741,790,000.0",Maharashtra
Everrenew,Clean Tech,2019.0,Chennai,,India,,Tamil Nadu
Evibe Technologies,Consumer Services,2014.0,Hyderabad,"Anjaneyulu Reddy, Swathi Bavanaka",India,,Telangana
Evify,Logistics,2021.0,Surat,"Devrishi Arora,Aditya Singhania,Pragya Mittal,Saurabh Aggarwal",India,"Rs 116,200,000.0",Gujarat
Evolve Snacks,Ecommerce,2016.0,Faridabad,Angad Sehgal,India,,Haryana
Evolved Foods,Ecommerce,2020.0,Bengaluru,"Pradeep Rao,Roma Roy Choudhury",India,,Karnataka
Evoride motors,Clean Tech,2018.0,Bengaluru,Rahul Venkatraman,India,,Karnataka
EvueMe Selection Robot,Enterprise Tech,2016.0,New Delhi,Rupak Agarwal,India,,Delhi
Evum,Ecommerce,2019.0,Indore,"Divya Somani, Hrishikesh Somani",India,,Madhya Pradesh
ExactSpace,Enterprise Tech,2018.0,Bengaluru,"Arun Jose, Rahul Raghunathan",India,"Rs 110,390,000.0",Karnataka
Exam18,Ecommerce,2013.0,Mumbai,Chirag Agarwal,India,,Maharashtra
Exambazaar,Edtech,2017.0,Jaipur,Gaurav Parashar,India,,Rajasthan
Examify,Edtech,2012.0,Mumbai,Angad Nadkarni,India,,Maharashtra
Exampur,Edtech,2018.0,New Delhi,"Alok Singh Rana, Vardaan Gandhi, Vivek Kumar",India,,Delhi
Excellent Publicity,Enterprise Tech,2011.0,Ahmedabad,"Manan Joshi, Vaishal Dalal",India,,Gujarat
Excess2sell,Ecommerce,2016.0,Mumbai,"Anant Chaturvedi, Navinder singh chauhan, Rajan Sharma",India,"Rs 83,000,000.0",Maharashtra
Excitel,Enterprise Tech,2015.0,New Delhi,"Victor Francess, Vivek Raina",India,"Rs 954,500,000.0",Delhi
Exfinity Venture Partners,,2013.0,Bengaluru,,India,,Karnataka
EximPe,Fintech,2021.0,Mumbai,Arjun Zacharia,India,"Rs 290,500,000.0",Maharashtra
Exotel,Enterprise Tech,2011.0,Bengaluru,"Ishwar Sridharan, Shivakumar Ganesan, Siddharth Ramesh, Vijay Sharma",India,"Rs 7,228,470,000.0",Karnataka
Exoticamp,Travel Tech,2015.0,Chennai,"Swaminathan Subramanian,Vijay Premnath",India,,Tamil Nadu
Expand My Business,Enterprise Tech,2018.0,Gurugram,"Nishant Behl, Rohan Raj Barua",India,,Haryana
Experifun,Edtech,2012.0,Bengaluru,"Rakesh Kumar, Vivek Pandey",India,,Karnataka
Expertia AI,Enterprise Tech,2020.0,Bengaluru,"Akshay Gugnani, Kanishk Shukla",India,"Rs 97,940,000.0",Karnataka
Expertrons,Edtech,2019.0,Mumbai,"Jatin Solanki, Vivek Gupta",India,"Rs 190,900,000.0",Maharashtra
ExploreLIfeTravelling,Travel Tech,2015.0,Bengaluru,"Rohit Suri, Vikram Kumar",India,,Karnataka
Explurger,Media & Entertainment,2018.0,New Delhi,"Jitin Bhatia, Jitin Bhatia, Sonu Sood",India,"Rs 455,670,000.0",Delhi
Exponent Energy,Clean Tech,2020.0,Bengaluru,"Arun Vinayak, Sanjay Byalal Jagannath",India,"Rs 3,677,730,000.0",Karnataka
Exposome,Clean Tech,2020.0,Mumbai,Prerna Sonthalia Goradia,India,"Rs 141,100,000.0",Maharashtra
Express Stores,Ecommerce,2019.0,Gurugram,"Apoorv Jain, Kartik Gupta",India,"Rs 91,300,000.0",Haryana
Exprto,Edtech,2021.0,Gurugram,"Varun R,Rajan Chaudhary",India,,Haryana
Exquinz,Health Tech,2022.0,Bhubaneswar,,India,,Odisha
Exsure,Health Tech,2021.0,Bhubaneswar,"Abhishek Dutta, Swastika Paul",India,,Odisha
ExtraCarbon,Clean Tech,2012.0,Gurugram,"Anant Avinash, Gaurav Joshi",India,,Haryana
ExtraaEdge,Enterprise Tech,2016.0,Pune,"Abhishek Ballabh, Sushil Mundada",India,"Rs 141,100,000.0",Maharashtra
Eye Mantra,Health Tech,2013.0,New Delhi,"Dr. Shweta Jain, Krishan Kumar Jain",India,"Rs 830,000,000.0",Delhi
Eye-D,Deeptech,2014.0,Bengaluru,"Gaurav Mittal, Vaibhav Asthana",India,,Karnataka
Eye-Q India,Health Tech,2007.0,Gurugram,"Ajay Sharma, Rajat Goel",India,"Rs 3,154,000,000.0",Haryana
EyeMyEye,Ecommerce,2020.0,Gurugram,"Deepak Arora, Ganesh Iyer, Manish Kumar, Nikhlesh Madan, Sunil Raut, Vinay Kumar",India,"Rs 971,930,000.0",Haryana
EyeROV,Deeptech,2016.0,Ernakulam,Johns T Mathai,India,"Rs 128,650,000.0",Kerala
Eyestem,Health Tech,2016.0,Bengaluru,"Dr. Jogin Desai, Jogin Desai, Rajani Battu",India,"Rs 531,200,000.0",Karnataka
EzCred,Fintech,2017.0,Bengaluru,"Amiya Pathak, Sachin Maheshwari",India,"Rs 83,000,000.0",Karnataka
EzeeWash,Consumer Services,2004.0,Hyderabad,Ravi Kumar Pinjala,India,,Telangana
Ezercon Medtech,Health Tech,2022.0,Thane,"Aman Singal, Khushi Yagnik",India,,Maharashtra
Ezerx Health Tech,Health Tech,2018.0,Bhubaneswar,"Chaitali Roy, Partha Pratim Das Mahapatra, Sudip Roy Chowdhury",India,,Odisha
Ezetap,Fintech,2011.0,Bengaluru,"Abhijit Bose, Alfredo Ruiz López, Bala Parthasarathy, Bhaktha Keshavachar, Shripati Acharya",India,"Rs 4,233,000,000.0",Karnataka
Ezovion,Enterprise Tech,2017.0,Chennai,Kasiviswanathan Shanmugam,India,,Tamil Nadu
Ezstays,Real Estate Tech,2019.0,Greater Noida,"Abhishek Kumar, Kumar Gaurav, Vaibhav Khanna",India,,Uttar Pradesh
Ezyschooling,Edtech,2016.0,New Delhi,"Krishna Kant Pandey, Mayank Jain",India,,Delhi
F1 Info Solutions,Enterprise Tech,2012.0,Mumbai,Shammi Moza,India,,Maharashtra
F2SO4,Ecommerce,2015.0,Chandigarh,"Amrit Singh, Hardil Sarao, Partik Bhuchar, Sachin Goel",India,,Chandigarh
F5 Clouds,Enterprise Tech,2022.0,Mumbai,"Senthilkumar Kuppusamy, Vinodkumar Bose",India,,Maharashtra
F5 Escapes,Travel Tech,2013.0,Bengaluru,"Akanksha Bumb, Malini Gowrishankar",India,,Karnataka
F5 Refreshement,Consumer Services,2018.0,New Delhi,"Lalit Aggarwal, Raghav Arora",India,"Rs 83,830,000.0",Delhi
FAB BAG,Ecommerce,2012.0,Mumbai,"Kaushik Mukherjee, Vineeta Singh",India,,Maharashtra
FABgetaways,Travel Tech,2017.0,Ahmedabad,Raaj Bajaj,India,,Gujarat
FIA Technology Services,Fintech,2012.0,Gurugram,Seema Prem,India,,Haryana
FIB-SOL,Agritech,2013.0,Chennai,"Anant Raheja, Kavitha Sairam",India,,Tamil Nadu
FINO PayTech,Fintech,2017.0,Mumbai,Rishi Gupta,India,"Rs 4,365,800,000.0",Maharashtra
FMS Launchpad,,2020.0,New Delhi,,India,,Delhi
FOIP,Real Estate Tech,2023.0,Gurugram,,India,"Rs 230,740,000.0",Haryana
FORMCEPT,Enterprise Tech,2011.0,Bengaluru,"Anuj Kumar, Suresh Srinivasan",India,,Karnataka
FPL Technologies,Fintech,2019.0,Pune,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi",India,"Rs 21,055,440,000.0",Maharashtra
FR8,Logistics,2016.0,Chennai,"Jay Panneerselvam, Vasanth Immanuel",India,"Rs 209,160,000.0",Tamil Nadu
FRND,Media & Entertainment,2019.0,Bengaluru,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",India,"Rs 539,500,000.0",Karnataka
FRS Labs,Enterprise Tech,2010.0,Bengaluru,Shankar Palaniandy,India,,Karnataka
FS Life,Ecommerce,2015.0,Gurugram,"Ayushi Gudwani,Adarsh Sharma",India,"Rs 756,130,000.0",Haryana
FYNE,Ecommerce,1999.0,Bengaluru,Sunoop Balaraman,India,,Karnataka
FYNE Superfood,Ecommerce,2016.0,New Delhi,"Aanan Khurma, Rishi Sidhu",India,,Delhi
Faarms,Agritech,2020.0,Bengaluru,"Alok Duggal, Taranbir Singh",India,"Rs 996,000,000.0",Karnataka
Faasos,Foodtech,2011.0,Pune,"Kallol Banerjee, Jaydeep Barman",India,"Rs 7,843,500,000.0",Maharashtra
Faaya,Ecommerce,2022.0,New Delhi,"Aniket Dey,Mayank Lodha,Mridang Lodha",India,,Delhi
FabAlley,Ecommerce,2012.0,Noida,"Shivani Poddar, Tanvi Malik",India,"Rs 2,099,900,000.0",Uttar Pradesh
FabFurnish,Ecommerce,2012.0,Gurugram,"Ankita Dabas, Mehul Agrawal, Vikram Chopra",India,,Haryana
FabHotels,Travel Tech,2014.0,Gurugram,"Adarsh Manpuria, Vaibhav Aggarwal",India,"Rs 5,614,950,000.0",Haryana
Fabheads,Deeptech,2015.0,Chennai,"Abhijeet Rathore, Dhinesh Kanagaraj",India,"Rs 90,470,000.0",Tamil Nadu
Fabits,Fintech,2022.0,Bengaluru,"Ajath Anjanappa, Shreyas M Kabirdass",India,,Karnataka
Fable Fintech,Fintech,2021.0,Mumbai,"Hershel Asmani,Naushad Contractor",India,,Maharashtra
Fabogo,Consumer Services,2015.0,Pune,"Mohammad Ali Akmal, Prasanjeet Roy",India,"Rs 311,250,000.0",Maharashtra
Fabric IOT,Enterprise Tech,2022.0,Bengaluru,"Karan Makhija, Shunmugha Krishnan",India,,Karnataka
Fabriclore,Ecommerce,2016.0,Jaipur,"Anupam D Arya, Vijay Sharma",India,"Rs 253,980,000.0",Rajasthan
Fabrik,Enterprise Tech,2017.0,Bengaluru,"Puneet Badrinath, James Selvam",India,,Karnataka
Fabrito,Ecommerce,2022.0,Gurugram,"Mayank Narain, Naresh Dhaka, Pushpendra Singh",India,,Haryana
Fabulyst,Enterprise Tech,2016.0,Hyderabad,"Komal Prajapati, Raj Parakh, Vikas Jethnani, Vishal Chitravanshi",India,,Telangana
Facets.cloud,Enterprise Tech,2021.0,Bengaluru,"Anshul Sao, Pravanjan Choudhury, Rohit Raveendran",India,"Rs 332,000,000.0",Karnataka
Faclon Labs,Advanced Hardware & Technology,2016.0,Mumbai,"Archit Naraniwal, Rishi Sharma, Utkarsh Srivastava",India,,Maharashtra
FactorDaily,Media & Entertainment,2016.0,Bengaluru,"Jayadevan PK, Pankaj Mishra, Titash Neogi",India,"Rs 156,040,000.0",Karnataka
FactoryPlus,Enterprise Tech,2021.0,New Delhi,"Bikash Dash, Sparsh Koyarala, Vatsal Rustagi",India,,Delhi
Fae Bikes,Clean Tech,2016.0,Bengaluru,"Dheeraj Reddy, Sameer Ranjan Jaiswal, Yugraj Shukla",India,,Karnataka
FairPlum,Foodtech,2020.0,Mumbai,"Mayank Tandon, Mitesh Thakkar, Rupesh Agarwal",India,"Rs 166,000,000.0",Maharashtra
Faircent,Fintech,2013.0,Gurugram,"Nitin Gupta, Rajat Gandhi, Vinay Mathews",India,"Rs 809,250,000.0",Haryana
Fairdeal Market,Consumer Services,2022.0,Gurugram,"Prateek Bansal,Yash Bansal",India,"Rs 166,000,000.0",Haryana
Fairylife,Ecommerce,2019.0,Chennai,"Bharath Lodha,Ashish Chauhan",India,,Tamil Nadu
Falca,Agritech,2018.0,Bengaluru,"Kingston Smiler Selvaraj, Santosh Danegoudar",India,"Rs 249,000,000.0",Karnataka
Falcon,Fintech,2012.0,Gurugram,Priyanka Kanwar,India,,Haryana
Falcon Autotech,Logistics,2004.0,Greater Noida,"Naman Jain, Vineet Baid",India,,Uttar Pradesh
FalconBrick,Enterprise Tech,2015.0,Bengaluru,"Aditya Shankar, Gautam Mayur, Sashi Kiran",India,,Karnataka
FamPay,Fintech,2019.0,Bengaluru,"Kush Taneja, Sambhav Jain",India,"Rs 3,544,100,000.0",Karnataka
Fambo,Agritech,2022.0,Greater Noida,"Akshay Tripathi,Sudarshan Satle",India,"Rs 199,200,000.0",Uttar Pradesh
FamousEnuf,Media & Entertainment,2016.0,Bengaluru,"Aditya Shah, Rachita Pandya Shah",India,,Karnataka
FanClash,Media & Entertainment,2020.0,Gurugram,"Richa Singh, Rishabh Bhansali",India,"Rs 4,191,500,000.0",Haryana
FanDuniya,Media & Entertainment,2018.0,Mumbai,"Ramkumar Venkatasubramanian, Viswanath Kommalapati",India,,Maharashtra
FanFight,Media & Entertainment,2016.0,Hyderabad,"Akhil Suhag, Krishna Chaitanya B, Nishanth Saka, Akshay Suhag",India,,Telangana
FanPlay,Media & Entertainment,2020.0,Noida,Bharat Gupta,India,"Rs 99,600,000.0",Uttar Pradesh
FanTiger,Web3,2022.0,Bengaluru,"Prashan Agarwal, Krishna Singh",India,"Rs 456,500,000.0",Karnataka
Fandrum,Media & Entertainment,2018.0,New Delhi,"Samridhi katyal,Vipul Chaube",India,,Delhi
Fanspole,Media & Entertainment,2015.0,Thane,"Aniket Shinde, Hardik Gondaliya",India,,Maharashtra
FantainSports,Enterprise Tech,2012.0,Bengaluru,"Anand Ramachandran, Anand Ramachandran, Aravind Ramachandran, Aravind Ramachandran, Vivek Venugopalan, Vivek Venugopalan",India,,Karnataka
Fantasy Akhada,Media & Entertainment,2020.0,Gurugram,"Amit Purohit, Sumit Kumar Jha",India,"Rs 1,132,950,000.0",Haryana
Fantasy Trading League,Media & Entertainment,2019.0,Gurugram,"Shahzaib Ahmed,Syed Shaaz",India,,Haryana
